What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
Instructor meet us(students),Disappointment,He's teaching base on real world situation,Select---,"He's not attending our class, and He's not updating us.",Select---,In our 3 times meeting I learned a lot because he's teaching style is effective. The issue is he's not meeting us regularly and he's not giving us update.,Select---
Please help the students more to fully understand this course and help them to prepare mentally/emotionally what comes next,Acceptance,she did her best to explain and help us,Select---,sometimes their explanation is confusing,Select---,None,Select---
Make more the teaching livelier and more on group activities to know how to communicate with each other,Acceptance,"Being Funny and at the same time being professional. Also, being able to give the answers that we are finding.",Select---,none,Select---,none,Select---
"For me, there's is no changes needed because it is [PROFESSOR] that makes the students improved more.",Satisfaction,he teaches us more than what we expect,Select---,N/A,Select---,N/A,Select---
None. Satisfied,Satisfaction,Patience,Select---,Good,Select---,None,Select---
None,Null,Loud voice,Select---,Na,Select---,Na,Select---
Na,Null,Na,Select---,Na,Select---,Na,Select---
Na,Null,Na,Select---,Na,Select---,Na,Select---
n/a,Null,giving out lab activities that can surely improve my skills,Select---,fast-paced teaching,Select---,i hope to focus more on skill-based learning than making essays and so on,Select---
Na,Null,Na,Select---,Na,Select---,Na,Select---
Na,Null,Na,Select---,Na,Select---,Na,Select---
Discussions in class,Acceptance,He knows the course very well,Select---,none,Select---,none,Select---
Na,Null,Na,Select---,Na,Select---,Na,Select---
More examples for lessons.,Acceptance,His dedication for teaching.,Select---,Nothing.,Select---,Nice.,Select---
Na,Null,Na,Select---,Na,Select---,Na,Select---
More lab activities,Acceptance,easy to understand,Select---,none,Select---,none,Select---
Teach us more skills for improvement and better coping of lessons.,Acceptance,None,Select---,Nothing.,Select---,Nothing.,Select---
None,Null,Way of teaching,Select---,None,Select---,More prizes,Select---
N/A,Null,TEACHING METHODS,Select---,N/A,Select---,N/A,Select---
Nothing,Null,He's attentive,Select---,Nothing,Select---,Sige,Select---
NA,Null,teaching method,Select---,NA,Select---,NA,Select---
None,Null,Not boring class,Select---,None,Select---,None,Select---
Just attend and teach well,Disappointment,Work attitude,Select---,Rarely meeting,Select---,None,Select---
N/A,Null,Outlined lessons,Select---,Long sessions,Select---,N/A,Select---
"tbh, there's nothing he's just good at teaching",Satisfaction,adding humors to it's teaching,Select---,none,Select---,none,Select---
N/A,Null,TEACHING METHOD,Select---,N/A,Select---,N/A,Select---
More on hands on activity,Acceptance,She's beautiful.,Select---,Nothing.,Select---,Good,Select---
None,Null,Passion in teaching,Select---,None,Select---,None,Select---
More variety,Acceptance,Their tone of speaking,Select---,Less discussion,Select---,None,Select---
N/A,Null,TEACHING METHOD AND UNDERSTANDING,Select---,N/A,Select---,N/A,Select---
Explain practical application,Acceptance,Accomodating,Select---,Lacking in collaboration,Select---,n/a,Select---
None,Null,interacting with his students that makes it more engaging to listen to his lessons,Select---,None,Select---,None,Select---
"More laboratory time than lec, because we learn more in doing than reading",Acceptance,none,Select---,The teaching method,Select---,The teacher failed to educate the students properly,Select---
Stay consistent,Disappointment,Pleasing personality,Select---,Sobrang bilis magturo (maybe I'm just slow to keep up),Select---,Na,Select---
I would recommend more lab time.,Acceptance,none,Select---,The teaching method,Select---,xd,Select---
The instructor must speak louder and clearer.,Acceptance,He's always updating us whenever he's not around.,Select---,He explains everything.,Select---,Good.,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
More interaction with the students,Acceptance,The topics are aligned with the syllabus,Select---,Less variety in teaching,Select---,None,Select---
None,Null,Easy to understand because of how well he explains the lesson,Select---,None,Select---,None,Select---
Better way of teaching,Acceptance,Plus points,Select---,Solely relying on textbooks,Select---,,Select---
"None [PROFESSOR] is the best at teaching this subjert, he teaches and demonstrate the subject very well",Satisfaction,He engages the classroom very well and can make something fun and engaging,Select---,None,Select---,"More lab time, because we learn more in doing rather than reading",Select---
None the teacher did their job as intended.,Satisfaction,Engages with students,Select---,None,Select---,Likes alot of students,Select---
N/A,Null,THE PROFESSOR IS MAKING SURE THAT STUDENTS WILL LEARN,Select---,N/A,Select---,N/A,Select---
none,Null,none,Select---,none,Select---,none,Select---
Nothing,Null,Nothing,Select---,Nothing,Select---,Nothing,Select---
None,Null,Slowly and very patient when it comes to teaching us,Select---,None,Select---,None,Select---
None,Null,"His teaching method, sir the chillest teacher in the ccs",Select---,The reporting style is very efficient and provides extra information after students reports,Select---,Stay chill sir,Select---
None,Null,He provides feedbacks on your work and answers questions that you can understand.,Select---,none,Select---,Most chill teacher and pogi,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
More materials for learning,Acceptance,Good personality,Select---,NA,Select---,NA,Select---
none,Null,none,Select---,none,Select---,none,Select---
"I believe it would be better if the teaching pace were slower, without skipping through concepts too quickly.",Acceptance,What I like is the prayers before and after the classs and also on how he encourage us to study more and believe in ourselves,Select---,Fast-paced teaching,Select---,No,Select---
None,Null,Way of teaching,Select---,None,Select---,None,Select---
N/A,Null,VERY USEFUL CRITICISM,Select---,NONEEEE,Select---,N/A,Select---
Better ways of teaching,Acceptance,Plus points,Select---,,Select---,,Select---
More time to design the system for a sem and then code and deploy on the other sem,Acceptance,None,Select---,The way of keeping information,Select---,More time for system design for the first semester,Select---
More time to work on the system.,Acceptance,None,Select---,Gate keeps information or feedbacks.,Select---,xd,Select---
Teach the student themselves not relying only in reporting,Disappointment,none,Select---,late updates,Select---,none,Select---
None,Null,Way of teaching,Select---,None,Select---,None,Select---
Schedule tasks,Acceptance,Interaction,Select---,Inconsistent announcement,Select---,None,Select---
Needs more ways to teach because the subject itself is hard to understand.,Acceptance,Generous with chances.,Select---,none,Select---,father vibes would like to have a drink with sir,Select---
Maybe new teaching techniques,Acceptance,The vibes in the classroom is like it gives a fatherly vibes,Select---,None,Select---,None,Select---
none,Null,none,Select---,none,Select---,none,Select---
N/A,Null,Comes on time and teach well in class,Select---,N/A,Select---,N/A,Select---
Actually teaching,Disappointment,None,Select---,Did not even meet us in a classroom at least once,Select---,None,Select---
None,Null,PLUS POINTSSS,Select---,,Select---,,Select---
None,Null,None,Select---,None,Select---,None,Select---
Proper feedbacks.,Acceptance,None,Select---,...,Select---,xd,Select---
Meet more frequently,Acceptance,Allowed students to demonstrate practical application of the course,Select---,Not meeting frequently,Select---,Better feedback to student work,Select---
none,Null,none,Select---,none,Select---,none,Select---
Attend the class to keep up to the lesson,Disappointment,Good personality,Select---,NA,Select---,NA,Select---
the schedule,Acceptance,Consistent,Select---,None,Select---,none,Select---
N/A,Null,"Calm, and good at teaching",Select---,N/A,Select---,N/A,Select---
"Maybe make the voice a bit louder, because we cant hear sometimes",Acceptance,The mentoring and the feedback he gives us,Select---,None,Select---,The startup mentoring is very good experience for us,Select---
Lessen works,Acceptance,Interactive.,Select---,none,Select---,xd,Select---
None,Null,Very engaging with the students,Select---,He has a modern take with teaching,Select---,None,Select---
none,Null,none,Select---,none,Select---,none,Select---
None,Null,None,Select---,None,Select---,None,Select---
The announcement should be given clear and consistent,Acceptance,The takes and criticism he provided for our projects,Select---,The inconsistency of the announcement,Select---,no,Select---
Balance teaching and giving activities,Acceptance,Giving course related activities,Select---,Not teaching,Select---,None,Select---
More Discussions,Acceptance,The project,Select---,Not attentive,Select---,Inconsistent announcement,Select---
N/A,Null,Good at teaching and Approachable just like sir jaydee and other profs,Select---,N/A,Select---,N/A,Select---
N/A,Null,He goes in-depth with the topic whilst simplifying it,Select---,None,Select---,None,Select---
None,Null,None,Select---,None,Select---,None,Select---
Less reporting,Acceptance,None,Select---,None,Select---,None,Select---
none,Null,she explains it too well,Select---,none,Select---,none,Select---
Better ways of teaching,Acceptance,,Select---,,Select---,,Select---
None,Null,None,Select---,None,Select---,None,Select---
my study habits,Irrelevant,gives effort in teaching,Select---,super fast in teaching,Select---,none,Select---
Better ways of teaching,Acceptance,Plus points,Select---,,Select---,,Select---
Lessen the workload given to the students,Acceptance,Way of teaching,Select---,None,Select---,None,Select---
None,Null,None,Select---,None,Select---,None,Select---
Teaching improvement and more demonstration for the topics,Acceptance,Gives accurate feedback and encourage students to improve on their work while being considerate.,Select---,Maybe the Lack of clear explanation about the topics and solely relying on other materials,Select---,None,Select---
NA,Null,Always updating students on time,Select---,NA,Select---,nA,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
"the way teaching, ig?",Acceptance,visual teach,Select---,none,Select---,none,Select---
more activities and hands on exams,Acceptance,how passionate he is when answering our questions,Select---,none,Select---,none,Select---
Maybe attend the class and teach students even a little regarding the project?,Disappointment,Maybe giving feedback to the work,Select---,Lack of engagement and availability to the class.,Select---,None,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
None,Null,Simple and easy to understand,Select---,None,Select---,None,Select---
"none, except very early class",Acceptance,teached throughly,Select---,none,Select---,none,Select---
None,Null,Good at explaining things,Select---,None,Select---,None,Select---
"nothing, he does good in explaining ",Satisfaction,"i always like his classes, his examples and explanations are always on point",Select---,nothing,Select---,nothing,Select---
"He teach fine , its just the voice is not that audible ",Acceptance,The slow teaching and applying it on a quiz,Select---,The inaudible when teaching,Select---,none,Select---
"He teach fine , its just the voice is not that audible ",Acceptance,The slow teaching and applying it on a quiz,Select---,The inaudible when teaching,Select---,none,Select---
None,Null,Can talk the students' language,Select---,None,Select---,None,Select---
N/A,Null,Nice teaching,Select---,N/A,Select---,N/A,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
None,Null,He gives us visual presentations that visual learners can also more understand the lessons,Select---,None,Select---,None,Select---
Provide video tutorial for the students to review and practice,Acceptance,Very engaging,Select---,None,Select---,None,Select---
more hands on project and demo projects,Acceptance,he listens to the feedback of students,Select---,sometimes instructions are not clear,Select---,none,Select---
None,Null,The instructor clearly explain and demonstrated the importance of the topic and the instructor creatively make ways to make the class more engaging which helps student learn more.,Select---,None,Select---,None,Select---
"tbh, none",Null,visual teaching,Select---,none,Select---,none,Select---
none,Null,always entertaining student's questions in class,Select---,none,Select---,none,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
More activity,Acceptance,Interactive,Select---,Super early,Select---,Good overall,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
None,Null,None,Select---,None,Select---,None,Select---
I believe he should be teaching the subjects slowly not just jump one topic to another,Acceptance,The prayers before and after the class and the way he encourage the students,Select---,Fast-paced teaching,Select---,nope,Select---
None,Null,Informative,Select---,None,Select---,None,Select---
More discussion,Acceptance,Able to teach complex lessons,Select---,Need previous knowledge to understand,Select---,None,Select---
none,Null,lots of infos,Select---,none,Select---,none,Select---
nothing,Null,i like how she gives constructive comments on our works,Select---,how she is seldomly available,Select---,none,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
more face to face class,Acceptance,allows students to share their knowledge thru reports,Select---,few f2f class,Select---,none,Select---
N/a,Null,N/a,Select---,N/a,Select---,N/a,Select---
none,Null,Very understanding and always helps students to better understand the lessons,Select---,none,Select---,none,Select---
None,Null,Her patience,Select---,None,Select---,None,Select---
I believe he should teach her students properly not just give instant projects without even teaching it,Disappointment,none,Select---,Rarely attend classes,Select---,nope,Select---
None,Null,The instructor gives activity related to the subject and giving a clear demonstration of the activity which gives the students a more clear understanding on how the project or activity should work.,Select---,None,Select---,None,Select---
N/A,Null,Very Good Teaching,Select---,N/A,Select---,N/A,Select---
None,Null,So nice,Select---,None,Select---,None,Select---
Give real life activity,Acceptance,Straightforward,Select---,Too much lectures,Select---,No,Select---
teach students what they need,Acceptance,gives us freedom to do what we can,Select---,sometimes she goes missing,Select---,none,Select---
None.,Null,None.,Select---,None.,Select---,Should've taught more and deeply about the course and topics involved. Could've have been more present for whenever student needs consultations.,Select---
More activities should be given,Acceptance,Teaching step by step process of the activity,Select---,None,Select---,None,Select---
none,Null,that he is approachable and passionate about his teachings.,Select---,That when we have a hard time understanding he is patient with us.,Select---,none,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
that they should more fast pace and more activities,Acceptance,that they show good tips about the subject,Select---,they seldom meet and only teaches designing not the actual coding,Select---,"meet more, give more lectures and content we can work on",Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
None,Null,None,Select---,None,Select---,None,Select---
none,Null,gives very useful tips for class activities,Select---,none,Select---,none,Select---
none,Null,none,Select---,none,Select---,none,Select---
None,Null,Many activities,Select---,None,Select---,None,Select---
None,Null,The activities and assessments,Select---,Fast and sometimes not understandable,Select---,none,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
none,Null,really tries to help students to better understand php,Select---,none,Select---,none,Select---
"tbh, none",Null,explained the topics throughly,Select---,none,Select---,none,Select---
A clear and more precise detail on how to work on documentation and giving demonstration or examples that would help the students understand the topic and its relevance.,Acceptance,None,Select---,"No feedback and lack of given information for the projects, late submission of requirements for activities and poor decision making.",Select---,None,Select---
Meet the class more often.,Acceptance,Nothing.,Select---,Not meeting us.,Select---,Be serious on students.,Select---
Providing a learning course to follow after classes or a roadmap,Acceptance,Their group works,Select---,Their unnecessary remarks during classes/quizzes,Select---,N/A,Select---
the syllabus and how the examples are given,Acceptance,none,Select---,"everything, too fast paced and barely explained the last parts of the syllabus/lessons",Select---,none,Select---
Nothing,Null,Explains the lesson very clearly,Select---,.,Select---,None,Select---
None,Null,None,Select---,None,Select---,None,Select---
announce all the needed info to all students,Acceptance,freedom,Select---,sometimes information are not announced,Select---,none,Select---
None,Null,The way he teaches is easily understandble,Select---,none,Select---,none,Select---
teach slowly huhu,Acceptance,none,Select---,none,Select---,none,Select---
Nothing,Null,Good explanation of lessons and lively teaching,Select---,Nothing,Select---,None,Select---
"Too much work, and also giving a task with short time for submission ",Disappointment,Teaching calmly,Select---,Workload,Select---,none,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
none,Null,The consistent recitation every class for memorization of lessons,Select---,none,Select---,none,Select---
None,Null,Explains the lesson well and not too fast,Select---,.,Select---,.,Select---
None.,Null,None.,Select---,None.,Select---,None.,Select---
none,Null,their kind,Select---,teaching style,Select---,none,Select---
none,Null,none,Select---,none,Select---,none,Select---
None,Null,"Easily understandable, lessons are explained in an easily understandable way",Select---,none,Select---,none,Select---
none,Null,he explains things thoroughly,Select---,none,Select---,none,Select---
NA,Null,NA,Select---,Fast-paced,Select---,NA,Select---
Nothing,Null,Good teaching,Select---,None,Select---,None,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
detailed explanation with analogies and doesn't discuss over complicated topics so that other students can understand.,Acceptance,I appreciate the instructor’s effort to cover the topics and provide materials.,Select---,It often felt that the explanations were too fast or lacked depth which made it hard for us to fully understand the concept,Select---,N/A,Select---
"He should be teaching, its just that we are reporting ",Disappointment,"He teach good, it just that we always report the subjects instead of he teach that to us",Select---,Reporting,Select---,none,Select---
Teach us interactively.,Acceptance,Nothing.,Select---,Very demanding on work.,Select---,Reduce work.,Select---
By fixing the comfort rooms,Irrelevant,Their energy and availability for students questions about the subject,Select---,Sometimes struggles with communication,Select---,N/A,Select---
More in depth info,Acceptance,The presentations,Select---,none,Select---,none,Select---
None,Null,Good explanation,Select---,None,Select---,None,Select---
Attend to class more,Disappointment,Simplified,Select---,None,Select---,None,Select---
NA,Null,Resourcefulness,Select---,NA,Select---,None,Select---
Advance announcements,Acceptance,None,Select---,None,Select---,None,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
None,Null,The openness and allows students to ask questions and learn more about the subject,Select---,None,Select---,None,Select---
dive into the more business part,Acceptance,gives study materials,Select---,sometimes there are information that is new to us and its not discussed much,Select---,none,Select---
None,Null,How the teacher discusses easily and efficiently,Select---,None,Select---,none,Select---
None,Null,Interactive,Select---,None,Select---,Love you sir 🩷,Select---
Explain more about the topic.,Acceptance,Nonchalant.,Select---,Not audible.,Select---,No,Select---
None so far,Null,"The task for making and creating web so far I enjoyed it , I were learning well in his subject, he teaches well and I can apply it to my other projects like Software engineering ",Select---,None so far,Select---,none,Select---
None,Null,Good Teaching,Select---,None,Select---,None,Select---
None,Null,Easy to understand,Select---,NA,Select---,NA,Select---
Announce to be on time,Acceptance,None,Select---,None,Select---,None,Select---
None,Null,None,Select---,Gatekeeps necessary information,Select---,Tends to not give proper instructions and updates which affect our works,Select---
Hold more evaluations for professors,Acceptance,Their charisma,Select---,Lacking communication(understandable because of busy schedules),Select---,N/A,Select---
None,Null,His teaching method,Select---,None,Select---,none,Select---
give more study materials,Acceptance,gives effort and teaches us what we need,Select---,sometimes he is hard to understand,Select---,none,Select---
n/a,Null,n/a,Select---,n/a,Select---,n/a,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
NA,Null,NA,Select---,NA,Select---,NA,Select---
None,Null,She's understanding,Select---,None,Select---,None,Select---
None,Null,Easy to understand,Select---,NA,Select---,NA,Select---
Announce on time,Acceptance,None,Select---,None,Select---,None,Select---
None,Null,Clearly explains procedurally the concepts of information management and the use of databases,Select---,None,Select---,None,Select---
None,Null,None,Select---,Doesn’t teach,Select---,Be more active in teaching,Select---
None,Null,None,Select---,None,Select---,None,Select---
None,Null,The way he teaches and uses the time efficiently,Select---,none,Select---,none,Select---
N/A,Null,N/A,Select---,N/A,Select---,N/A,Select---
Meet us in class.,Acceptance,None,Select---,Not teaching,Select---,Teach us really and be open on ideas.,Select---
None,Null,He's more on Hands on learning,Select---,None,Select---,None,Select---
None,Null,The ability to let students be more engaged with the topic.,Select---,None,Select---,None,Select---
Hold more evaluations for professors,Acceptance,Their cisco and wiring projects,Select---,Sometimes gets confusing,Select---,N/A,Select---
Meeting us physically,Acceptance,Her feedback,Select---,Her feedback,Select---,None,Select---
None,Null,Repeats the lessons if not everyone understands the concept,Select---,None,Select---,None,Select---
None,Null,None,Select---,None,Select---,None,Select---
None,Null,Easy to understand,Select---,Intense workload,Select---,None,Select---
None,Null,None,Select---,None,Select---,None,Select---
Nothing,Null,Preparedness,Select---,Nothing,Select---,Nothing,Select---
none,Null,none,Select---,none,Select---,none,Select---
None,Null,before class we always pray and during class he always make sure if we understand the topic.,Select---,None,Select---,None,Select---
Nothing,Null,Explains it well,Select---,.,Select---,.,Select---
None,Null,None,Select---,None,Select---,None,Select---
None,Null,Taking time to teach us every lesson,Select---,Sometimes we can't keep up,Select---,None,Select---
NA,Null,NA,Select---,NA,Select---,NA,Select---
None,Null,"Straight and direct, allows students to learn and understand more of the field and it's topics.",Select---,None,Select---,None,Select---
Reduce workload,Disappointment,Case studies,Select---,Relying heavily on wadwhani,Select---,None,Select---
More real-life example.,Acceptance,Being resourceful on materials.,Select---,Too dependent on materials.,Select---,No,Select---
None,Null,None,Select---,Tends to be unclear of what she requires or requires too much unnecessary things without trying to understand what the systems are all about.,Select---,Sometimes gives unprofessional criticism,Select---
Hold more evaluations for professors,Acceptance,Veru concise and clear teaching,Select---,N/A,Select---,N/A,Select---
NA,Null,NA,Select---,Na,Select---,NA,Select---
coverage of the exam should be the same as the lessons,Disappointment,wires,Select---,definition,Select---,none,Select---
none,Null,none,Select---,none,Select---,none,Select---
Schedule,Disappointment,None,Select---,None,Select---,None,Select---
Don't really rely the topics in wadwhani,Disappointment,He don't shout and allows us to explore about the projects,Select---,None,Select---,None,Select---
None,Null,Understanding,Select---,None,Select---,None,Select---
none,Null,He explains well,Select---,Definitions,Select---,none,Select---
NA,Null,NA,Select---,Fast paced.,Select---,"Please stop your sarcasm and backhanded comments to students, your favoritism and making us feel like we don't have a brain. :))",Select---
NA,Null,NA,Select---,NA,Select---,NA,Select---
None,Null,Visual learning,Select---,None,Select---,None,Select---
N/A,Null,"Charismatic, very understanding of their students and Enjoyable learning experience",Select---,Sometimes lacks communication,Select---,N/A,Select---
Make it interactive,Acceptance,N/A,Select---,N/A,Select---,N/A,Select---
Video tutorial for lessons for reviewing,Acceptance,None,Select---,None,Select---,None,Select---
None,Null,None,Select---,None,Select---,None,Select---
None,Null,"Straight to the point, Easy to understand",Select---,NA,Select---,NA,Select---
None,Null,Simplicity,Select---,None,Select---,None,Select---
Nothing,Null,What I like the best about my instructor's teaching is he always try to make the topic simple and understandable,Select---,Nothing,Select---,Nothing,Select---
none,Null,none,Select---,none,Select---,none,Select---
None.,Null,How he helps everyone and gives practice tests.,Select---,None,Select---,None.,Select---
None,Null,Very creative,Select---,None,Select---,None,Select---
None,Null,Very Cheerful and Fun to listen during the Lectures,Select---,None,Select---,None,Select---
Nothing,Null,Nothing,Select---,Nothing,Select---,Nothing,Select---
None,Null,he give multiple chances to pass the course,Select---,I can't understand how he enunciates words.,Select---,none,Select---
I would recommend adding activities or practical exercises after teaching each lesson to allow students to apply what they’ve learned,Acceptance,"My instructor was able to explain the lesson in a way that was clear and easy to understand, ensuring everyone could follow ",Select---,None,Select---,None,Select---
None,Null,Sir also teach us on how to use CISCO,Select---,None,Select---,None,Select---
"NA
",Null,NA,Select---,NA,Select---,NA,Select---
None,Null,None,Select---,None,Select---,None,Select---
None,Null,Engaging and Fun,Select---,None,Select---,None,Select---
None,Null,None,Select---,None,Select---,None,Select---
N/A,Null,his patience,Select---,N/A,Select---,N/A,Select---
Improve the time frame of this subject.,Disappointment,",",Select---,"Sometimes the required task or homeworks, and teaching methods don't allow for students to fully grasp and learn the topics.",Select---,None,Select---
none,Null,none,Select---,none,Select---,none,Select---
None.,Null,"Despite fast, he really makes the lessons understandable.",Select---,None.,Select---,None.,Select---
Good Quality Teaching,Acceptance,Good Quality Teaching,Select---,Absence,Select---,Nothing,Select---
its good as it is for now,Satisfaction,good quality teaching,Select---,absences,Select---,nothing,Select---
None,Null,Soft spoken,Select---,None,Select---,Loveyou ma'am. Thank you 🩷,Select---
None,Null,None,Select---,None,Select---,None,Select---
None,Null,"Easy to understand, mastery",Select---,NA,Select---,NA,Select---
NA,Null,NA,Select---,NA,Select---,NA,Select---
None,Null,None,Select---,None,Select---,None,Select---
None,Null,Easy to understand,Select---,None,Select---,None,Select---
none,Null,"explain it well, doesn’t hurry up the students ",Select---,none,Select---,none,Select---
n/a,Null,n/a,Select---,n/a,Select---,n/a,Select---
none,Null,none,Select---,non,Select---,none,Select---
None,Null,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
Improve timeframe for lab.,Select---,The ability to understand students wellbeing and needs to improve in class.,Select---,None,Select---,None,Select---
NA,Select---,"Style, mastery, relevance",Select---,NA,Select---,NA,Select---
None,Select---,He's perfect. I'm speechless. He demonstrates well during class but in 1.25x.,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
,Select---,,Select---,,Select---,,Select---
N/A,Select---,adaptability,Select---,N/A,Select---,N/A,Select---
nothing its good as of now,Select---,his shortcuts about the lessons,Select---,nothing,Select---,nothing,Select---
none,Select---,demonstration,Select---,none,Select---,none,Select---
None,Select---,She makes sure that we know the topic before we exam,Select---,None,Select---,None,Select---
Nothing,Select---,Her concern as a instructor,Select---,None,Select---,Nope,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None.,Select---,None.,Select---,None.,Select---,None.,Select---
None,Select---,Very Formal,Select---,None,Select---,None,Select---
NA,Select---,"Kind, simplicty, engaging",Select---,NA,Select---,NA,Select---
None,Select---,The ability to caught the class attention and listen and participate more on the lessons. Allows students to grow and learn,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
,Select---,,Select---,,Select---,,Select---
it's as is so none,Select---,allows student to have enough time to complete a task and informs students in advance what are materials to purchase for upcoming activities,Select---,none,Select---,none,Select---
None,Select---,He's approachable in person,Select---,None,Select---,None,Select---
NONE,Select---,None,Select---,None,Select---,None,Select---
None,Select---,"So good at teaching, engaging. The best",Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
nothing,Select---,his creativeness,Select---,absences,Select---,,Select---
None,Select---,He knows how to explain,Select---,None,Select---,None,Select---
None,Select---,Chill only,Select---,None,Select---,None,Select---
NA,Select---,"Fun, engaging, practicality",Select---,NA,Select---,NA,Select---
None.,Select---,None.,Select---,None.,Select---,None.,Select---
,Select---,,Select---,Absences,Select---,,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,Easy to understand,Select---,None,Select---,None,Select---
,Select---,,Select---,,Select---,,Select---
None,Select---,Good teaching,Select---,none,Select---,none,Select---
None,Select---,"He use  presentations to teach, which they made the lessons more organized and easier to follow",Select---,None,Select---,None,Select---
None,Select---,she always give feedbacks,Select---,sometimes i dont get her point,Select---,None,Select---
Guide us personally,Select---,None,Select---,None,Select---,None,Select---
none,Select---,instructor is easy to understand,Select---,none,Select---,none,Select---
none,Select---,everything his method of teaching and the effort he puts to make each topic interesting he also makes sure that each discussions students made achievements and improvements,Select---,none,Select---,none,Select---
,Select---,,Select---,,Select---,,Select---
Synchronization of project with SE,Select---,None,Select---,None,Select---,Nine,Select---
NA,Select---,"Simplicity, fun",Select---,NA,Select---,NA,Select---
Interact with the class more,Select---,Clear and direct to the point,Select---,Too much information sometimes that can't be absorbed immediately,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None.,Select---,How he relates with the class as he teaches.,Select---,None.,Select---,None.,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,His absences,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,nice teaching,Select---,none,Select---,none,Select---
none,Select---,easy to understand,Select---,none,Select---,none,Select---
None,Select---,He knows everything that we ask,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
Enhance the topic,Select---,The way of teaching,Select---,Lack of time,Select---,None,Select---
None,Select---,He's calm and he explains summarized lessons very well.,Select---,None,Select---,None,Select---
none so far,Select---,up to date topics,Select---,none,Select---,well rounded instructor,Select---
N/A,Select---,easy to understand,Select---,N/A,Select---,N/A,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,Sometimes I can't hear [PROFESSOR],Select---,None,Select---
None,Select---,,Select---,Absence,Select---,,Select---
,Select---,None,Select---,None,Select---,None,Select---
,Select---,,Select---,,Select---,,Select---
None,Select---,None,Select---,None,Select---,None,Select---
be more open to other sql technologies,Select---,she's very practical and knows how to analyze databases,Select---,none so far,Select---,nice insteuctor,Select---
None,Select---,Nice Teaching,Select---,none,Select---,none,Select---
none,Select---,demonstration,Select---,none,Select---,none,Select---
understand the modules,Select---,she gives a lot of references,Select---,none,Select---,none,Select---
N/A,Select---,N/A,Select---,He explains well,Select---,N/A,Select---
,Select---,,Select---,,Select---,,Select---
Clearer discussions,Select---,None.,Select---,Some unclear sessions,Select---,Improve unclearness,Select---
None,Select---,Very Chill,Select---,None,Select---,None,Select---
N/A,Select---,Easy to understand,Select---,N/A,Select---,N/A,Select---
Nothin,Select---,The Cup,Select---,Crunch Time,Select---,Bro is Good,Select---
none it's perfect,Select---,"everything! the lessons are always interesting, I don't believe that there are students who goes out of his class and learned nothing. He makes everything simple does not over crowd your brain ",Select---,none at all,Select---,none 🌷,Select---
none,Select---,Activities,Select---,none,Select---,none,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
none,Select---,none,Select---,none,Select---,none,Select---
n/a,Select---,n/a,Select---,n/a,Select---,n/a,Select---
N/A,Select---,friendly approach of teaching,Select---,N/A,Select---,N/A,Select---
The way the professor teaches,Select---,His coding skills,Select---,Fast paced teaching and unexplained method of coding,Select---,Need more teaching.,Select---
Explore more topics,Select---,Interacts with the class closely,Select---,None so far,Select---,None,Select---
n/a,Select---,None.,Select---,sometimes the info/feedbacks that the instructor are giving is not quite correct. we would then as a student ask a different instructor for an advice.,Select---,none.,Select---
none,Select---,Everything,Select---,none,Select---,none,Select---
None.,Select---,None.,Select---,None.,Select---,None.,Select---
"course itself is fine, just the delivery isnt optimal",Select---,consulting and proper feedback,Select---,not teaching concisely and expecting us to keep up,Select---,.,Select---
