What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
Take time teaching before giving projects (website project),Disappointment,"I like how Ma'am enjoys how her teaching goes, but why me INC Ma'am huhu. I did my best huhu",Disappointment,He’s running out of time.,Disappointment,"1.While project-based learning is valuable, I feel that key concepts and foundational knowledge are not being adequately covered in class. More comprehensive lectures would help students better understand the material.
2. Some projects seem unrelated to the course syllabus, making it challenging to connect them to the course objectives. Aligning projects with learning outcomes would enhance our understanding of the subject matter.",Disappointment
The course itself is fun but the time of our instructor to teach us that is what needs to improve,Disappointment,not always meeting the class,Disappointment,Low tone of voice,Disappointment,"she was my prof for 3 subjects i think? or 4? im not sure. pandemic days were a hassle, but with face to face class i can see that she's kind of okay with teaching. seems a bit off still with the read all explain all lessons. and most of her classes makes half of our class sleepy T___T she talks so slow (total opposite with sir arip) and its not that encouraging to listen to the topics, but if we look at how she teaches us, she's doing well. she answers questions also and elaborates more when needed. ",Disappointment
lacking of actual lessons and no unnecessary projects that do not relate to the subject,Disappointment,"Throughout the semester, the professor communicated clearly and consistently with the class, ensuring that we always understood the expectations and course requirements. Instructions were provided in a timely and organized manner, which helped us stay on track with our tasks. The professor was consistently present and approachable, making it easy for students to seek clarification and guidance whenever needed. There was a strong sense of support and involvement, and it was clear that the professor genuinely cared about our learning and development. These qualities greatly enhanced our understanding of the subject and allowed us to engage with the material in a meaningful and practical way.

",Disappointment,the instructor does not manage class time effectively,Disappointment,"The chance for learning Advanced Database through this course was wasted. We had a great time learning database concepts [PROFESSOR], and expectations were high for this subject since cc104 was the pre-requisite, but unfortunately we learned nothing through this course as the instructor always doesn't attend classes, doesn't give timely updates, and doesn't teach what the subject should teach the students and just masks it behind unreasonable projects, full identification/enumeration quizzes, and exams from ppts discussed by other students without teaching anything.",Disappointment
Change the instructor.,Disappointment,not always meeting the class and give time,Disappointment,the PPT is not easy to understand,Disappointment,"For me,we need more time in learningbecause i feel like we are significanlty behind in our learning po.Most of the topics now or in the upcoming semester seems to lack the basic foundation that we should have learned and taught before.i hope you understand sir.",Disappointment
"probably, actually teaching. ",Disappointment,I do not like the teaching method,Disappointment,"He takes too time to decide what example to show us. Also he did not make too much time for us because his wife is pregnant which is acceptable but he made us try a lot of things in a span of hours without teaching those lessons and the time given to us was i think less than 10 hours(which is highly acceptable), But we had face to face class until 7pm so we only had less than 4hrs to do it.",Disappointment,"Whenever he cancels the class 20 minutes before the scheduled time and it is very inconvenient and disappointing to be honest as not all of us reside near the school, and in most cases, his subject is the only one we are scheduled to attend that day. Not to mention, we always ask him if he will meet the class a day before or even couple of hours before the sched and he will only respond roughly 20-30mins before his class. 

I am also disappointed by the fact that he has only met the class, two or three times throughout the entire semester. And because of this, I only learned 10% of what I should have learned based on the syllabus. ",Disappointment
"she was our core/starter subject in first year, introduction to computing was her subject and computer programming 1 too i think and like for me it wasnt really that good. she doesnt excel with teaching hands on codes that much, but shes definitely good with explaining topics like how she is with electives 1. maybe when she's kind of more engaging and like interactive with students, she'll be alright.",Disappointment,"He is still great with explaining the lessons, not being dependent on ppts, and will actually make you and help you understand the topic he’s explaining. sometimes he explains things so fast some student cant catch up, if he can tone down a little itll be great. ",Disappointment,Lack of lessons on hands on activity (JavaScript),Disappointment,"PLEASE MATURO NANG MAAYOS, LAGI PUMASOK SA CLASS KASI HINDI LAHAT AYAW MATUTO. NAGIGINGNG KAWAWA KAME SA IBANG SUB  KASI WALA KAME MAISAGOT. HINDI WORTH IT ANG GRADE KAS PARANG MINAGIC LANG",Disappointment
"Since the course is called Advance Database, it should teach the students proper Advance Database topics and concepts that can expand the student's knowledge and understanding of CC104.",Disappointment,I don't have any cause she doesn't know how to teach even her she doesn't know the topic at all.,Disappointment,his lack of time teaching us.,Disappointment,I hope her Aura gets a bit better or softer? Like I always feel nervous around her. It's scary to talk to her sometimes and ask questions for guidance.,Disappointment
More hands on activities with proper guidance and effort from the instructor.,Disappointment,Nothing really stood out; I felt like I didn’t learn anything new.,Disappointment,not showing up to classes when needed,Disappointment,Engage more with the students,Disappointment
Improve the time management of some instructor because a lot of time they are busy,Disappointment,"I can’t think of anything positive, the class felt like a waste of time.",Disappointment,his voice and student-teacher interaction,Disappointment,Do not rush when teaching,Disappointment
Time management of some instructors,Disappointment,"There wasn’t much teaching going on, so I can’t say I liked anything.",Disappointment,"Getting online ppt and distribute to the students, then the student will report the lesson.",Disappointment,Quality of the visual aids.,Disappointment
"I don’t know if this is really how this subject is supposed to be taught and learned, but I think there are a bunch of concepts being tackled without practical application. All I need to do is memorize a bunch of stuff without understanding the underlying concepts. You could say that someone can pass the exam while being oblivious to the topic at the same time. In my case, this is quite possibly the most effective way to make someone hate learning. If possible integrate practical activities. ",Disappointment,The only thing I liked was when the class ended early.,Disappointment,"not meeting the class, assigning reports to students to avoid teaching, assigning a heavy task almost on par with our SE ( which would be passable if she actually taught us something)",Disappointment,I really hope that the instructor would've been more proactive and passionate in teaching. The course as a whole confused me more than actually learning something. I am better off just searching the topics up online.,Disappointment
The topics should atleast be more a bit easy and less complicated,Disappointment,"I appreciate that they showed up sometimes, but the lessons weren’t meaningful.",Disappointment,A bit fast in explaing,Disappointment,The prof needs more effort when teaching,Disappointment
"By having the professor TEACH the class, not the class teaching each other through group reporting. The professor must take in the effort of a student doing the final project, even if the project did not fully reached 100%. She said that we would be 0 if the project did not reached 100% in her eyes.",Disappointment,"I liked that we had slides, but it was just reading and not teaching.",Disappointment,At least demo,Disappointment,In our 3 times meeting I learned a lot because he's teaching style is effective. The issue is he's not meeting us regularly and he's not giving us update.,Disappointment
"DI NATUTURO, LAGI ABSENT MINURA KAME ONE MEETING, DI KAME PINAG FINALS, NAHIRAPAN KAME SA WD 123 KASI DI SYA NAGTUTURO SINCE FIRST YEAR KAME. LAB ACTIVITY, PINAG REPORTING KAME. NUNG FIRST YEAR PURO COPY PASTE NG CDE NA BINIBIGAY NYA LANG GINAGAWA NAMIN. HINDI MAAYOS MAGBIGAY NG GRADE, FOR SHORT , MINAGIC NYA LANG",Disappointment,The best part was when I didn’t have to struggle through confusing explanations.,Disappointment,Groupworks,Disappointment,The teacher failed to educate the students properly,Disappointment
I want to shift i don't like this course,Disappointment,"Honestly, nothing. The lectures didn’t make sense to me.",Disappointment,"she doesnt care as much, like she's fine with people at the back talking or sleeping, and not participating at all. i cant blame them though since its really plain and quiet when she teaches us. mostly reading whats on the ppt and elaborating each sentences, next thing you know we got quiz/exam next meet. (she's the same with [PROFESSOR], where today read elaborate lesson, next meet quiz. or sometimes just give out the ppts and modules then quiz directly)",Disappointment,Likes alot of students,Disappointment
"I strongly recommend incorporating hands on teaching methods during lab hours, especially for a subject like this where practical application is key to understanding the fundamentals. Relying solely on modles or extenal resources like Youtube tutorials places an unnecessary burden on students to self-learn, which can lead to inconsistent progress.",Disappointment,I liked how quiet the class was since the teaching wasn’t effective.,Disappointment,"Throughout the course, I found the instructor's teaching methods to be very ineffective. The explanations and instructions were often unclear, and there were no lectures since the instructor only made the students report a random topic, which became our basis for exams and quizzes. The instructor also lacks engagement and interest during classes. Additionally, the instructor was unresponsive to questions and did not provide adequate support for clarification of students.",Disappointment,Inconsistent announcement,Disappointment
I suggest the teacher shows us how they will code the said problem as inspiration since I know they are better at it than we are or just guide us on how to solve the problems like giving tips and strategies on how to solve the problem for the code like for syntaxes and so on. Overall nearly all coding subjects just let's us do our own thing like studying and watching YT and in some cases to other students that just doesn't work :(,Disappointment,I can’t recall anything that helped me understand the subject.,Disappointment,Teaching the course like reading it as a story and when explaining it will go on different directions and not related to his/her course anymore,Disappointment,Should've taught more and deeply about the course and topics involved. Could've have been more present for whenever student needs consultations.,Disappointment
I would recommend change the instructor to improve this course,Disappointment,I liked that I had time to self-study because the teaching wasn’t helpful.,Disappointment,If the code isn't working he'll make it as an activity,Disappointment,"meet more, give more lectures and content we can work on",Disappointment
"The subject is definitely great, yet it lacks clear explanation",Disappointment,"The instructor sometimes explained, but it was always rushed.",Disappointment,There are a couple of due date that is so short that we had a difficulty passing the activity,Disappointment,Be serious on students.,Disappointment
I think it's the instructor and not the course that needs improvement. He needs to attend his class regularly and teach properly.,Disappointment,I only liked the fact that attendance was counted.,Disappointment,None,Disappointment,Tends to not give proper instructions and updates which affect our works,Disappointment
Attend class,Disappointment,None. The way lessons were delivered left me more confused.,Disappointment,Di namimigay mani si sir,Disappointment,Sometimes gives unprofessional criticism,Disappointment
attend class every  meeting,Disappointment,"I didn’t like anything about the teaching style, it felt empty.",Disappointment,N/A,Disappointment,"Please stop your sarcasm and backhanded comments to students, your favoritism and making us feel like we don't have a brain. :))",Disappointment
The learning materials given to us was mediocre at best. The teaching style of the instructor just made us more confuses than before and we barely absorbed anything that was taught to us.,Disappointment,"Nothing stood out, everything felt repetitive and shallow.",Disappointment,None,Disappointment,"I'm really disappointed, I was really excited in learning the field of cyber security. but i learned nothing.",Disappointment
"Tbh it's all good, it's just how he interact with his students. students should be always eager to see you, not  a student that wants you to not meet.",Disappointment,"The only thing I liked was the slides being available, but they weren’t explained.",Disappointment,nothing,Disappointment,"i would've gotten something out of it if she was just as passionate as the other professors, placing other work on students just to get free time doesn't really sound like a professional would do. As difficult it is to learn this subject and getting a little bit of nothing sounds like a waste of time.",Disappointment
Instructor meet us(students),Disappointment,"I liked that the class ended on time, that’s all.",Disappointment,nothing,Disappointment,"The instructor is unprofessional most of the time. During our defenses, she would not even let our members speak/explain properly because she would always interrupt and insist on something or point out something without even hearing the full explanation first before asking questions. Her questions and suggestions often lack context due to her poor listening skills during group presentations. She often speaks loudly or even eats in front of the students, a behavior that is also observed in other groups. Also, during our title proposal, her criteria were unclear, as she would approve title proposals immediately, but then it turns out during the defense that the concept already exists, which leads to conflict between groups.",Disappointment
Just attend and teach well,Disappointment,"Honestly, nothing to like—it was more stressful than helpful.",Disappointment,Hmm... I have no idea as well.,Disappointment,"It would have been better if the instructor did not gatekeep information like documentation outline, announcements, project criteria, etc. It would help students work on the project much earlier in the course and produce more quality outputs. What happened was that the documentation outline was given late, which resulted to unwanted revisions and the project criteria was not communicated clearly ",Disappointment
Stay consistent,Disappointment,I can’t say I enjoyed any part of the teaching.,Disappointment,None,Disappointment,"I hope that if she requires students to create a system, she ensures that she teaches them well first.",Disappointment
Teach the student themselves not relying only in reporting,Disappointment,The teaching style made me feel like I was just memorizing words.,Disappointment,N/A,Disappointment,Just replace the professor with someone more knowledgeable in that course.,Disappointment
Actually teaching,Disappointment,"I liked that sometimes instructions were clear, but the lessons were not.",Disappointment,None,Disappointment,"this instructor doesnt have respect for her students and unreliable when it comes to consultations. rarely provides useful info in defenses, and focuses more on criticizing the work, even when its highly irrelevant. ",Disappointment
Attend the class to keep up to the lesson,Disappointment,The best thing I can say is that the instructor was physically present.,Disappointment,None,Disappointment,"Hoping that he would give consideration to the time of the students when giving a project and the lectures, the lectures  where too hard to understand because it's cramming into one semester ",Disappointment
Maybe attend the class and teach students even a little regarding the project?,Disappointment,I didn’t see anything worth liking about the teaching approach.,Disappointment,Busy si sir but understandable.,Disappointment,"Sir, please use your time fully. ",Disappointment
I believe he should teach her students properly not just give instant projects without even teaching it,Disappointment,"The slides were neat, but they didn’t really teach us.",Disappointment,"LAHAT NG ABSENCES, HINDI NAGTUTURO NANG MAAYOS",Disappointment,Meet us,Disappointment
"Too much work, and also giving a task with short time for submission ",Disappointment,"I liked that the instructor read from the book, but it didn’t help much.",Disappointment,N/A,Disappointment,So unfair groupings,Disappointment
"He should be teaching, its just that we are reporting ",Disappointment,I can’t think of a single good teaching moment.,Disappointment,none,Disappointment,Explain further the lessons,Disappointment
Attend to class more,Disappointment,"The only thing I appreciated was that assignments were given, even if confusing.",Disappointment,I plead the fifth,Disappointment,Should meet at lecture Schedule,Disappointment
Reduce workload,Disappointment,Nothing at all. It felt like we had no instructor.,Disappointment,Fast pacing of teaching,Disappointment,More hands on work than just lectures .,Disappointment
coverage of the exam should be the same as the lessons,Disappointment,"The teaching style was too fast, I didn’t learn anything.",Disappointment,not meeting us,Disappointment,"didnt actually learn that much cause he likes to give out ready-made codes for us to just retype on our laptops. barely teach us also cause i dont know i think he's expecting that we know it already? i hope more coding related stuff please. even though not graded, just to enhance the skills, random activities.",Disappointment
Schedule,Disappointment,"I liked that there were exams, but they didn’t reflect actual learning.",Disappointment,Their way of explaining,Disappointment,"The teacher did not teach everything about the subject due to inconsistent class attendance. But when we meet, the professor displays mastery of the subject but sometimes relies too much on what is on the displayed on the presentation screen. Since the subject is about web developing, actual coding during class should always happen so that student can adapt what is being taught and the teacher could assess the student's progress.",Disappointment
Don't really rely the topics in wadwhani,Disappointment,None. The subject felt harder because of the lack of proper teaching.,Disappointment,"She couldn't attend the class multiple times, which led to me or us as a class doing self-studying",Disappointment,More hands on like coding or something.,Disappointment
Improve the time frame of this subject.,Disappointment,"Honestly, nothing impressed me with the teaching style.",Disappointment,"What I find most challenging is when lessons are skipped entirely or not explained in depth. [PROFESSOR] just simply post the learning materials without further elaboration whic leaves us students to figure things out independently or self-learning. Als when she practice of rushing through lessons and will just assume prior knowledge that some students may not have, which makes it difficult to keep up and succeed in the course.",Disappointment,More hands on,Disappointment
Improve timeframe for lab.,Disappointment,The best part was when I studied alone because I learned more that way.,Disappointment,"One  of my major concern is the lack of hands on teaching during lab hours. Tho it was mentioned that the LEC instructor is responsible for teaching, the absence of practical guidance or hands on learning during lab sessions I think leaves a gap in our learning process. Lab hours should be an opportunity to directly apply what has been taught in lectures, ensuring us to understand and can use the concepts in real world scenarios. Without this, it becomes difficult for us to grasp the subject effectively.",Disappointment,"More discussions, and hands on practices coding and guided learning.",Disappointment
Guide us personally,Disappointment,Nothing—the lessons didn’t stick in my mind.,Disappointment,"There's nothing particular as well for this but I guess it's How she teaches? She only reads and doesn't give us advice on how to do it, I'm actually proud to be under someone like her since she's smart but really it's just how she teaches she doesn't execute well on trying to explain and give tips about it to us ",Disappointment,"More hands on practices, real-life projects, guide students comprehensively in learning as some student are not used to self-study and would require the assistance of the professor.",Disappointment
Synchronization of project with SE,Disappointment,"I liked the idea of lectures, but they weren’t effective.",Disappointment,Fast explanation,Disappointment,Attend more classes.,Disappointment
Enhance the topic,Disappointment,None. The classes just felt like plain reading.,Disappointment,"Just “showing” rather than “teaching”.

Talks way too fast which overloads students with information given that the time allotted for this course is 3 hours.

Not an encouraging instructor.

Teaches as if everyone in his class is already VERY knowledgeable about the programming language involved.",Disappointment,"I'm hoping he could loosen up a bit when it comes to quizzes. They're unnecessary, even though I like the topic, but the answers to his questions often come from unexpected places.",Disappointment
be more open to other sql technologies,Disappointment,I can’t say anything positive about the teaching.,Disappointment,The way she teaches...its more like she just gives then leave it to us...,Disappointment,"I feel like our final projects were overlooked or unnoticed. I understand he's a busy person, but I hope he can give more proper attention to his students and their concerns.",Disappointment
understand the modules,Disappointment,The teaching left me lost most of the time.,Disappointment,"Rushing through the materials. Just because one student understand it, doesn't mean everyone did. A proper discussion with the lessons should be made with the class at a time, rather than speed running through the syllabus. ",Disappointment,Just a comment—sayang we didn’t have enough time to cover more of the lessons the course has to offer,Disappointment
Clearer discussions,Disappointment,"I appreciated that deadlines were given, but no guidance was there.",Disappointment,the way she teaches...its like she just gives it to us then leave it to us...,Disappointment,the activities are helpful but sometimes they feel a little too complex for what we covered. It would help if the teacher explained all the fundamentals or necessities.,Disappointment
The way the professor teaches,Disappointment,None. The explanations were unclear and rushed.,Disappointment,too much information and almost no time for students to have a time to let the informations sink in to our minds....,Disappointment,Instructor should be able to meet the class most of the time. The instructor's frequent absences has gotten to the point that even other instructors are aware of his lack of attendances to classes.,Disappointment
Explore more topics,Disappointment,"I liked the effort to use slides, but that’s about it.",Disappointment,"Sometimes she teaches a little bit fast due to lack of time, because sometimes we got stuck to a certain problem for too long.",Disappointment,"I would suggest incorporating GitHub into the curriculum at an earlier stage, as it is a very important tool in modern software development. Early exposure would allow students to develop version control habits and collaborative coding skills sooner, better preparing them for industry standards and real-world projects.",Disappointment
"course itself is fine, just the delivery isnt optimal",Disappointment,Nothing. I didn’t feel guided in the lessons.,Disappointment,There could have at least 1 more meeting of class.,Disappointment,(THE SAME ON THE ADVANCE DATABASE LECTURE) MARAMI PA RIN NAG CHECHEAT SA BOOKLET (MAY ANSWERS NA AGAD SA LIKOD NG BOOKLET GALING SA IBANG SECTIONS)),Disappointment
Need more class interaction,Disappointment,I can’t think of a single thing that helped me.,Disappointment,some of the topic or lesson are not intimately providing informations —she's just reading the ppt and later on it will be part of the quiz!,Disappointment,I hope someday he'll teach his students properly,Disappointment
More examples when teaching and advice,Disappointment,"Honestly, none. The teaching wasn’t engaging at all.",Disappointment,"He's always busy, Have no time for us🤧",Disappointment,"A more respectful and encouraging environment would make a big difference for students taking the course. Since students are doing their best and the course is one of the crucial points for students, it would be appropriate to be at least professional and respectful during defense, providing constructive and focused feedback so it would motivate and at least foster a sense of growth for students, instead of discouragement.",Disappointment
Be more clear and sensitive,Disappointment,Nothing really stood out—it was disappointing overall.,Disappointment,Some parts of the power presentation(ppt) have a lot of pages that it makes it hard to understand in a single discussing.,Disappointment,"The course was already tough, so clearer guidance and responsiveness would’ve helped a lot, especially when new deliverables were introduced close to deadlines as it was often hard to get clarification. Also, information dissemination also felt inconsistent, and some defenses left us discouraged rather than supported. A bit more respect and constructive feedback during those sessions could really change the learning atmosphere.",Disappointment
more lab time,Disappointment,"I only liked that the instructor gave us time in class, but it wasn’t useful.",Disappointment,to much info,Disappointment,I really hope for a major reform in this subject.,Disappointment
"This Course heavily relies on materials in order to keep up in learning, like Computer/Laptops. It would be nice for all the needs of the students to be provided in the computer lab. some of the computer does not work. and some of the computer is very slow for this course especially when it comes to virtual machine. and not all student have good laptop for them to keep up with this particular lesson.",Disappointment,The teaching style was boring and unhelpful.,Disappointment,lack of or late proper announcement for exam pointers and quiz schedules,Disappointment,"In some cases, there's no notice on the final grades if ever there is something that needs to be clarified or what.",Disappointment
let's not force the quiz to continue or specially if there's only about 30 minutes or less that are left,Disappointment,Nothing. The way topics were delivered wasn’t clear.,Disappointment,Fast teaching,Disappointment,I hope that announcements will be announce much earlier because usually he arrives late but will announce it also late.,Disappointment
To explain the topics in-depth,Disappointment,"I didn’t like anything, the lectures weren’t understandable.",Disappointment,Sometimes the instructor is too fast when explaining,Disappointment,Please early announcement if hindi magmeet🙏,Disappointment
New updated computer,Disappointment,The only thing I can mention is that the teacher was consistent in being absent.,Disappointment,He's teaching too fast probably due to the short class time.,Disappointment,Early announcement 🙏,Disappointment
do not set a goal if you cannot squeeze it into the lesson,Disappointment,None. The lessons didn’t make sense to me.,Disappointment,Discussions can be slightly too fast at times.,Disappointment,No self study for this course pls (like watch recorded videos or what) we should meet f2f always,Disappointment
"It would be nice to know, where to use the lesson, what use it has for the course I am taking. I'm somewhat lost on where this will be used.",Disappointment,"Nothing, except that I had more free time due to lack of teaching.",Disappointment,Not much clarification on questions,Disappointment,This summer class is bit draining since it's my first. and it's like it doesn't have rest even alternate schedule.,Disappointment
do not overcrowd our brain,Disappointment,"I liked that the slides were colorful, but they didn’t help me learn.",Disappointment,Teaching style,Disappointment,Late announcements.,Disappointment
more class time,Disappointment,None. The teaching felt incomplete.,Disappointment,Short period of time for the activities,Disappointment,Should change the handlers of the subject as this instructirs does absolutely nothibg to the students benefit,Disappointment
more class time,Disappointment,"Honestly, I can’t say I liked any part of it.",Disappointment,"Sometimes, we are afraid to ask po kasi baka mabara po huhu",Disappointment,Appear more in class,Disappointment
good pc for lab activities,Disappointment,The best part was that the class didn’t last too long.,Disappointment,Can be complex sometimes,Disappointment," It would be very helpful if the professor could be more present, establish clear communication channels, provide timely and detailed instructions, and offer more availability to support students. These changes would greatly enhance the learning experience and help students succeed in a subject as important as Software Engineering.",Disappointment
Show up more,Disappointment,"Nothing, the teaching was ineffective.",Disappointment,He often and mostly do not attend our classes,Disappointment,relies on the ppt,Disappointment
more lesson materials,Disappointment,None. The explanations left me even more confused.,Disappointment,surprise quiz,Disappointment,more time,Disappointment
"open-communication between the teacher and the students, and interactive discussions",Disappointment,"I liked that attendance was easy, but I didn’t learn anything.",Disappointment,Masyadong mabilis si sir magturo,Disappointment,"Ahmm, not a big fan of the praying method. were we have to clap on time to avoid leading the prayer.",Disappointment
incorporate group/individual activities,Disappointment,"Nothing, I felt unsupported in class.",Disappointment,Soft spoken,Disappointment,"i don't like the thumbs up as a way to pick a prayer leader, too spontaneous",Disappointment
make his voice a bit louder,Disappointment,None. The instructor didn’t explain lessons well.,Disappointment,time due to busy schedules,Disappointment,More programming language,Disappointment
Provide fast internet connection to the instructors,Disappointment,"The teaching was too dependent on slides, nothing to like.",Disappointment,Little engagement with students,Disappointment,Not teaching.,Disappointment
be patient with the class,Disappointment,I didn’t find anything worth liking.,Disappointment,Some profs solely rely on videos/textbooks,Disappointment,"i also remember there was a time when he promised our group that he would send an example or some kind of reference to help us with our system, but he never got around to it. maybe it was because he was busy, which is understandable but still, it would’ve really helped us. HAHHAHHA

",Disappointment
I would recommend that making the subject engaging and having proper guidance on core concepts would greatly improve the course.,Disappointment,"Honestly, the only thing I liked was when there was no class.",Disappointment,Hastiness of passing (due date),Disappointment,"I really hope he doesnt do that again, the time when he got upset because half of the class didnt show up (thinking he wouldn’t come that day). As a result, he deducted -20 from our midterm scores. I was really sad about it, especially since that was the only day I was absent, and it ended up having such heavy consequences. (I was sick that day, really just a coincidence but yeah whatever T___T)",Disappointment
I would recommend that the course should be able to provide students with a clear outline of objectives at the start and slowly get to it to avoid overwhelming and cramming.,Disappointment,"Nothing, since I didn’t understand the subject at all.",Disappointment,last minute quiz announcement,Disappointment,"I hope he'll take on easy on his students, not Insult the students, discourage them and embarrass their students in front of the class",Disappointment
Engage more in solving a variety of practice problems to solidify the concepts learned and make the subject more engaging as a whole.,Disappointment,None. The way of teaching lacked depth.,Disappointment,The lack of number of classes,Disappointment,"more group rating please, some groupings have unfair members",Disappointment
"The course might be able to be more interactive and practical in providing knowledge to students while avoiding overwhelming/overloading students with information, especially since the course is about businesses and startups, which many students may not be familiar with or have a strong interest in",Disappointment,"I liked that the instructor gave exams, but they weren’t aligned with the lessons.",Disappointment,Can't hear his voice sometimes,Disappointment,Should attend class more,Disappointment
Keeping the course engaging by delving more into security.,Disappointment,Nothing—it was disappointing to attend.,Disappointment,Can't properly hear his voice sometimes,Disappointment,Please do some update when you start a class,Disappointment
Try to simplify some topics when discuss for the student to comprehend well,Disappointment,None. The subject felt more difficult because of poor teaching.,Disappointment,The voice is not very audible,Disappointment,Improvement on teaching and mastery of subjects,Disappointment
Atleast try to be more open on new things in innovation.,Disappointment,"I liked when the teacher gave us space to work alone, because lectures didn’t help.",Disappointment,assignment first before lecture,Disappointment,Need to improve the teaching style and the mastery of the lesson,Disappointment
Try to atleast to share the topics fully and not leaving half-baked answers.,Disappointment,"Honestly, nothing came across as good.",Disappointment,Unclear voice,Disappointment,The lecture part of this subject was understandable but applying it into our lab activities was extremely difficult for me. Maybe more guidance when doing lab activities would help with this?,Disappointment
Don't depend fully on group presentation,Disappointment,None. The lectures didn’t connect with me.,Disappointment,He is not meeting regularly. Not informing us 1 hour before our schedule if he is going to meet us or not instead he cancels the class like 10-20 minutes before the time.,Disappointment,The lecture part of this subject was understandable but the lab part was difficult for me. Maybe more guidance when doing lab activities would help with this?,Disappointment
Adapt new teaching method,Disappointment,"I liked when the teacher was quiet, because at least I wasn’t confused.",Disappointment,not meeting,Disappointment,"Don't hire this kind of teacher it will ruin the name of the school, in my point I'm already very disappointed of what happen to us, I'm expecting to learn programming but instead this teacher doesn't know how to code. How could she teach us if she doesn't even know how?! If i could rate a negative to this i would.",Disappointment
To ease the tasks,Disappointment,Nothing stood out. The approach felt unplanned.,Disappointment,The teachers low voice that the student in the back cant hear clearly,Disappointment,Her voice os very low she can only hear her voice.,Disappointment
I hope that the professor will always be on class.,Disappointment,None. I didn’t feel like I learned from the class.,Disappointment,Not attending classes,Disappointment,It's should be the teacher not the student.,Disappointment
I hope the professor will have more teaching interaction with their students.,Disappointment,I only liked that some instructions were written down.,Disappointment,The voice is not audible,Disappointment,Grading system is not much with the teaching,Disappointment
I hope the professor would actively ask students questions as well.,Disappointment,Nothing—I couldn’t grasp the lessons.,Disappointment,Doesnt attend classes,Disappointment,Don't hire this kind of instructor.,Disappointment
I hope the professor assigned to that course or subject can be changed.,Disappointment,None. The instructor wasn’t effective in explaining.,Disappointment,She didn't really go through the material too well and brushed certain details that were important.,Disappointment,"im upset, i tried my best and i obviously did okay in terms of hands on activity, exam, and quizzes. (compared to my classmates [as far as i know but i will stand corrected if im wrong]) cause i tried hard to learn stuff. just for them to have higher or same grades as me cause they got pulled by the other subject. AAAAAAAAAAAAAA. its okay though, its for the benefit of everyone i guess. i mean its obviously my fault for not balancing both lecture and laboratory, but in my head, laboratory matters more cause its like 60-70% of the overall grade for the subject. so i tried to focus on one thing. yeah end up with me disappointing myself all over again.",Disappointment
Time management,Disappointment,"I liked that I was forced to self-study, but only because the teaching failed.",Disappointment,Not meeting classes,Disappointment,"I was expecting to learn more from this subject, but it felt like most of the time we were left on our own.",Disappointment
Be more on time during class schedule,Disappointment,Nothing. The approach was very disappointing.,Disappointment,She can't be heard clearly sometimes,Disappointment,"The lack of proper guidance was really discouraging, especially for a course this important.",Disappointment
Time management,Disappointment,None. The delivery of lessons was weak.,Disappointment,Time management,Disappointment,"I felt like the instructor didn’t put much effort into teaching, which was disappointing.",Disappointment
I hope the class would be more engaging rather that just having all the students report.,Disappointment,"Honestly, I found nothing to appreciate in the teaching.",Disappointment,Proper explanation,Disappointment,"It’s frustrating when announcements are made too late, leaving us little time to prepare.",Disappointment
To explain the things needed for the subject more clearly.,Disappointment,The only thing I liked was when the teacher ended early.,Disappointment,The lack of explanations and low tone of voice.,Disappointment,"I thought this class would be more engaging, but it turned out repetitive and dull.",Disappointment
Time management,Disappointment,None. The classes didn’t improve my knowledge.,Disappointment,Consistency of classes,Disappointment,I feel like my effort wasn’t matched by the professor’s dedication.,Disappointment
Time management,Disappointment,"I liked that there were assignments, but they were unclear.",Disappointment,"The materials he used, the way he teached, and the assessment material he provided.",Disappointment,It’s disappointing that we had to rely on external resources instead of our professor.,Disappointment
HANDS ON PRACTICE OF DATABASE QUERY,Disappointment,Nothing—the teaching wasn’t meaningful.,Disappointment,Favoritism,Disappointment,"The grading system didn’t feel fair, which was discouraging after all the work put in.",Disappointment
Teach and explain the topic properly,Disappointment,None. It was hard to follow the lessons.,Disappointment,The lesson is a bit hard to understand,Disappointment,"I expected better communication, but updates were often unclear or delayed.",Disappointment
MORE ACTIVITIES,Disappointment,I can’t think of any part I liked.,Disappointment,The quality of teaching. Almost every class we meet are treated like a minor subject when they are not because of the low voice and the poor quality of teaching.,Disappointment,"The subject could have been exciting, but the lack of energy in teaching made it boring.",Disappointment
Invest more on student interaction,Disappointment,"Honestly, I didn’t like anything about the teaching.",Disappointment,"How he interact with his students, most of students is afraid of him wishing that he will not be in their subj prof. And being inconsiderate.",Disappointment,I felt let down when classes were frequently canceled without proper notice.,Disappointment
"Though this course may require memorization to specific parts of the topic, I personally think that having these lessons applied on the tests/exams/quizzes would be more effective ",Disappointment,Nothing. The teaching left me disappointed.,Disappointment,Being sarcastic.,Disappointment,There were times when feedback was unhelpful and even discouraging.,Disappointment
The attendance of the professor,Disappointment,None. I didn’t feel guided at all.,Disappointment,Dont explain much and mabilis minsan mag discuss,Disappointment,The way lessons were handled made me lose interest in a topic I actually liked.,Disappointment
Improve the quality of teaching,Disappointment,"I liked that there was structure, but it didn’t help with understanding.",Disappointment,only taught us the basics then gave us complex projects,Disappointment,"I was really looking forward to learning coding here, but we barely practiced.",Disappointment
