What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label,
More in depth info,Acceptance,The presentations,Satisfaction,none,Null,none,Null,
None,Null,Good explanation,Satisfaction,None,Null,None,Null,
Attend to class more,Disappointment,Simplified,Satisfaction,None,Null,None,Null,
NA,Null,Resourcefulness,Satisfaction,NA,Null,None,Null,
Advance announcements,Acceptance,None,Null,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,The openness and allows students to ask questions and learn more about the subject,Satisfaction,None,Null,None,Null,
dive into the more business part,Acceptance,gives study materials,Satisfaction,sometimes there are information that is new to us and its not discussed much,Disappointment,none,Null,
None,Null,How the teacher discusses easily and efficiently,Satisfaction,None,Null,none,Null,
None,Null,Interactive,Joy,None,Null,Love you sir 🩷,Joy,
Explain more about the topic.,Acceptance,Nonchalant.,Acceptance,Not audible.,Disappointment,No,Null,
None so far,Null,"The task for making and creating web so far I enjoyed it , I were learning well in his subject, he teaches well and I can apply it to my other projects like Software engineering ",Joy,None so far,Null,none,Null,
None,Null,Good Teaching,Satisfaction,None,Null,None,Null,
None,Null,Easy to understand,Satisfaction,NA,Null,NA,Null,
Announce to be on time,Acceptance,None,Null,None,Null,None,Null,
None,Null,None,Null,Gatekeeps necessary information,Disappointment,Tends to not give proper instructions and updates which affect our works,Disappointment,
Hold more evaluations for professors,Acceptance,Their charisma,Satisfaction,Lacking communication(understandable because of busy schedules),Acceptance,N/A,Null,
None,Null,His teaching method,Satisfaction,None,Null,none,Null,
give more study materials,Acceptance,gives effort and teaches us what we need,Satisfaction,sometimes he is hard to understand,Disappointment,none,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
None,Null,She's understanding,Satisfaction,None,Null,None,Null,
None,Null,Easy to understand,Satisfaction,NA,Null,NA,Null,
Announce on time,Acceptance,None,Null,None,Null,None,Null,
None,Null,Clearly explains procedurally the concepts of information management and the use of databases,Satisfaction,None,Null,None,Null,
None,Null,None,Null,Doesn’t teach,Disappointment,Be more active in teaching,Acceptance,
None,Null,None,Null,None,Null,None,Null,
None,Null,The way he teaches and uses the time efficiently,Satisfaction,none,Null,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
Meet us in class.,Acceptance,None,Null,Not teaching,Disappointment,Teach us really and be open on ideas.,Acceptance,
None,Null,He's more on Hands on learning,Satisfaction,None,Null,None,Null,
None,Null,The ability to let students be more engaged with the topic.,Joy,None,Null,None,Null,
Hold more evaluations for professors,Acceptance,Their cisco and wiring projects,Satisfaction,Sometimes gets confusing,Disappointment,N/A,Null,
Meeting us physically,Acceptance,Her feedback,Satisfaction,Her feedback,Disappointment,None,Null,
None,Null,Repeats the lessons if not everyone understands the concept,Satisfaction,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Easy to understand,Satisfaction,Intense workload,Disappointment,None,Null,
None,Null,None,Null,None,Null,None,Null,
Nothing,Null,Preparedness,Satisfaction,Nothing,Null,Nothing,Null,
none,Null,none,Acceptance,none,Null,none,Null,
None,Null,before class we always pray and during class he always make sure if we understand the topic.,Satisfaction,None,Null,None,Null,
Nothing,Null,Explains it well,Satisfaction,.,Null,.,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Taking time to teach us every lesson,Satisfaction,Sometimes we can't keep up,Disappointment,None,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
None,Null,"Straight and direct, allows students to learn and understand more of the field and it's topics.",Satisfaction,None,Null,None,Null,
Reduce workload,Disappointment,Case studies,Satisfaction,Relying heavily on wadwhani,Disappointment,None,Null,
More real-life example.,Acceptance,Being resourceful on materials.,Satisfaction,Too dependent on materials.,Disappointment,No,Null,
None,Null,None,Null,Tends to be unclear of what she requires or requires too much unnecessary things without trying to understand what the systems are all about.,Disappointment,Sometimes gives unprofessional criticism,Disappointment,
Hold more evaluations for professors,Acceptance,Veru concise and clear teaching,Satisfaction,N/A,Null,N/A,Null,
NA,Null,NA,Null,Na,Null,NA,Null,
coverage of the exam should be the same as the lessons,Disappointment,wires,Satisfaction,definition,Disappointment,none,Null,
none,Null,none,Null,none,Null,none,Null,
Schedule,Disappointment,None,Null,None,Null,None,Null,
Don't really rely the topics in wadwhani,Disappointment,He don't shout and allows us to explore about the projects,Acceptance,None,Null,None,Null,
None,Null,Understanding,Satisfaction,None,Null,None,Null,
none,Null,He explains well,Satisfaction,Definitions,Disappointment,none,Null,
NA,Null,NA,Null,Fast paced.,Boredom,"Please stop your sarcasm and backhanded comments to students, your favoritism and making us feel like we don't have a brain. :))",Disappointment,
NA,Null,NA,Null,NA,Null,NA,Null,
None,Null,Visual learning,Satisfaction,None,Null,None,Null,
N/A,Null,"Charismatic, very understanding of their students and Enjoyable learning experience",Joy,Sometimes lacks communication,Disappointment,N/A,Null,
Make it interactive,Acceptance,N/A,Null,N/A,Null,N/A,Null,
Video tutorial for lessons for reviewing,Acceptance,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,"Straight to the point, Easy to understand",Satisfaction,NA,Null,NA,Null,
None,Null,Simplicity,Satisfaction,None,Null,None,Null,
Nothing,Null,What I like the best about my instructor's teaching is he always try to make the topic simple and understandable,Satisfaction,Nothing,Null,Nothing,Null,
none,Null,none,Null,none,Null,none,Null,
None.,Null,How he helps everyone and gives practice tests.,Satisfaction,None,Null,None.,Null,
None,Null,Very creative,Joy,None,Null,None,Null,
None,Null,Very Cheerful and Fun to listen during the Lectures,Joy,None,Null,None,Null,
Nothing,Null,Nothing,Null,Nothing,Null,Nothing,Null,
None,Null,he give multiple chances to pass the course,Select---,I can't understand how he enunciates words.,Disappointment,none,Null,
I would recommend adding activities or practical exercises after teaching each lesson to allow students to apply what they’ve learned,Acceptance,"My instructor was able to explain the lesson in a way that was clear and easy to understand, ensuring everyone could follow ",Satisfaction,None,Null,None,Null,
None,Null,Sir also teach us on how to use CISCO,Satisfaction,None,Null,None,Null,
"NA
",Null,NA,Null,NA,Null,NA,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Engaging and Fun,Joy,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
N/A,Null,his patience,Satisfaction,N/A,Null,N/A,Null,
Improve the time frame of this subject.,Disappointment,",",Null,"Sometimes the required task or homeworks, and teaching methods don't allow for students to fully grasp and learn the topics.",Disappointment,None,Null,
none,Null,none,Null,none,Null,none,Null,
None.,Null,"Despite fast, he really makes the lessons understandable.",Satisfaction,None.,Null,None.,Null,
Good Quality Teaching,Acceptance,Good Quality Teaching,Satisfaction,Absence,Disappointment,Nothing,Null,
its good as it is for now,Satisfaction,good quality teaching,Satisfaction,absences,Disappointment,nothing,Null,
None,Null,Soft spoken,Acceptance,None,Null,Loveyou ma'am. Thank you 🩷,Joy,
None,Null,None,Null,None,Null,None,Null,
None,Null,"Easy to understand, mastery",Satisfaction,NA,Null,NA,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Easy to understand,Satisfaction,None,Null,None,Null,
none,Null,"explain it well, doesn’t hurry up the students ",Satisfaction,none,Null,none,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
none,Null,none,Null,non,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
Improve timeframe for lab.,Disappointment,The ability to understand students wellbeing and needs to improve in class.,Satisfaction,None,Null,None,Null,
NA,Null,"Style, mastery, relevance",Satisfaction,NA,Null,NA,Null,
None,Null,He's perfect. I'm speechless. He demonstrates well during class but in 1.25x.,Joy,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
,Null,,Null,,Null,,Null,
N/A,Null,adaptability,Satisfaction,N/A,Null,N/A,Null,
nothing its good as of now,Satisfaction,his shortcuts about the lessons,Satisfaction,nothing,Null,nothing,Null,
none,Null,demonstration,Satisfaction,none,Null,none,Null,
None,Null,She makes sure that we know the topic before we exam,Satisfaction,None,Null,None,Null,
Nothing,Null,Her concern as a instructor,Satisfaction,None,Null,Nope,Null,
None,Null,None,Null,None,Null,None,Null,
None.,Null,None.,Null,None.,Null,None.,Null,
None,Null,Very Formal,Acceptance,None,Null,None,Null,
NA,Null,"Kind, simplicty, engaging",Joy,NA,Null,NA,Null,
None,Null,The ability to caught the class attention and listen and participate more on the lessons. Allows students to grow and learn,Joy,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
,Null,,Null,,Null,,Null,
it's as is so none,Acceptance,allows student to have enough time to complete a task and informs students in advance what are materials to purchase for upcoming activities,Acceptance,none,Null,none,Null,
None,Null,He's approachable in person,Satisfaction,None,Null,None,Null,
NONE,Null,None,Null,None,Null,None,Null,
None,Null,"So good at teaching, engaging. The best",Joy,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
nothing,Null,his creativeness,Joy,absences,Disappointment,,Null,
None,Null,He knows how to explain,Satisfaction,None,Null,None,Null,
None,Null,Chill only,Acceptance,None,Null,None,Null,
NA,Null,"Fun, engaging, practicality",Joy,NA,Null,NA,Null,
None.,Null,None.,Null,None.,Null,None.,Null,
,Null,,Null,Absences,Disappointment,,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Easy to understand,Satisfaction,None,Null,None,Null,
,Null,,Null,,Null,,Null,
None,Null,Good teaching,Satisfaction,none,Null,none,Null,
None,Null,"He use  presentations to teach, which they made the lessons more organized and easier to follow",Satisfaction,None,Null,None,Null,
None,Null,she always give feedbacks,Satisfaction,sometimes i dont get her point,Disappointment,None,Null,
Guide us personally,Disappointment,None,Null,None,Null,None,Null,
none,Null,instructor is easy to understand,Satisfaction,none,Null,none,Null,
none,Null,everything his method of teaching and the effort he puts to make each topic interesting he also makes sure that each discussions students made achievements and improvements,Satisfaction,none,Null,none,Null,
,Null,,Null,,Null,,Null,
Synchronization of project with SE,Disappointment,None,Null,None,Null,Nine,Null,
NA,Null,"Simplicity, fun",Joy,NA,Null,NA,Null,
Interact with the class more,Null,Clear and direct to the point,Satisfaction,Too much information sometimes that can't be absorbed immediately,Disappointment,None,Null,
None,Null,None,Null,None,Null,None,Null,
None.,Null,How he relates with the class as he teaches.,Satisfaction,None.,Null,None.,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,His absences,Disappointment,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,nice teaching,Satisfaction,none,Null,none,Null,
none,Null,easy to understand,Satisfaction,none,Null,none,Null,
None,Null,He knows everything that we ask,Satisfaction,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
Enhance the topic,Disappointment,The way of teaching,Satisfaction,Lack of time,Disappointment,None,Null,
None,Null,He's calm and he explains summarized lessons very well.,Satisfaction,None,Null,None,Null,
none so far,Acceptance,up to date topics,Satisfaction,none,Null,well rounded instructor,Joy,
N/A,Null,easy to understand,Satisfaction,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,Sometimes I can't hear [PROFESSOR],Disappointment,None,Null,
None,Null,,Null,Absence,Disappointment,,Null,
,Null,None,Null,None,Null,None,Null,
,Null,,Null,,Null,,Null,
None,Null,None,Null,None,Null,None,Null,
be more open to other sql technologies,Disappointment,she's very practical and knows how to analyze databases,Satisfaction,none so far,Null,nice insteuctor,Joy,
None,Null,Nice Teaching,Satisfaction,none,Null,none,Null,
none,Null,demonstration,Satisfaction,none,Null,none,Null,
understand the modules,Disappointment,she gives a lot of references,Satisfaction,none,Null,none,Null,
N/A,Null,N/A,Null,He explains well,Irrelevant,N/A,Null,
,Null,,Null,,Null,,Null,
Clearer discussions,Disappointment,None.,Null,Some unclear sessions,Disappointment,Improve unclearness,Acceptance,
None,Null,Very Chill,Acceptance,None,Null,None,Null,
N/A,Null,Easy to understand,Satisfaction,N/A,Null,N/A,Null,
Nothin,Null,The Cup,Irrelevant,Crunch Time,Disappointment,Bro is Good,Joy,
none it's perfect,Satisfaction,"everything! the lessons are always interesting, I don't believe that there are students who goes out of his class and learned nothing. He makes everything simple does not over crowd your brain ",Joy,none at all,Null,none 🌷,Null,
none,Null,Activities,Satisfaction,none,Null,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
none,Null,none,Null,none,Null,none,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
N/A,Null,friendly approach of teaching,Satisfaction,N/A,Null,N/A,Null,
The way the professor teaches,Disappointment,His coding skills,Satisfaction,Fast paced teaching and unexplained method of coding,Null,Need more teaching.,Acceptance,
Explore more topics,Disappointment,Interacts with the class closely,Joy,None so far,Null,None,Null,
n/a,Null,None.,Null,sometimes the info/feedbacks that the instructor are giving is not quite correct. we would then as a student ask a different instructor for an advice.,Disappointment,none.,Null,
none,Null,Everything,Joy,none,Null,none,Null,
None.,Null,None.,Null,None.,Null,None.,Null,
"course itself is fine, just the delivery isnt optimal",Disappointment,consulting and proper feedback,Satisfaction,not teaching concisely and expecting us to keep up,Disappointment,.,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
NA,Null,demo teaching in php and git,Satisfaction,NA,Null,NA,Null,
none so far,Acceptance,simple and straightforward,Satisfaction,none so far,Null,chill and professional teacher,Joy,
N/A,Null,"She provides materials for us to understand the lessons properly, this makes her way of teaching very effective.",Satisfaction,N/A,Null,N/A,Null,
None,Null,He gave activities after teaching for us to practice so that we can apply the lesson he taught,Satisfaction,None,Null,None,Null,
none,Null,none,Null,none,Null,none,Null,
Need more class interaction,Disappointment,Mastery of the lesson,Satisfaction,Non-interactive discussion,Disappointment,None,Null,
Make it more lively,Boredom,Thorough and efficient,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
none,Null,none,Null,none,Null,none,Null,
None.,Null,Useful information about the course,Satisfaction,none.,Null,none.,Null,
More examples when teaching and advice,Disappointment,Specific and honest giving advice,Satisfaction,The advice given is sometimes not necessary to the project,Disappointment,None,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
None,Null,None,Null,Nine,Null,None,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
,Null,,Null,,Null,,Null,
None,Null,His teaching,Satisfaction,None,Null,None,Null,
none,Null,none,Null,none,Null,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
Be more clear and sensitive,Disappointment,Encourages the class to ask questions,Joy,Rushes through the material,Disappointment,Less information dumping so that students can absorb more without being overwhelmed,Acceptance,
none,Null,easy to understand,Satisfaction,none,Null,none,Null,
N/A,Null,Thorough and easy to understand,Satisfaction,Less meeting,Disappointment,N/A,Null,
None,Null,Nobe,Null,None,Null,None,Null,
N/A,Null,N/A,Null,"I dont like how sir is speaking fast when conveying the lessons, it's hard to keep up. ",Disappointment,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,The teaching itself,Satisfaction,None,Null,None,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
,Null,,Null,,Null,,Null,
more lab time,Disappointment,speech,Acceptance,the volume of voice,Disappointment,none,Null,
N/A,Null,Easy to understand and help student,Satisfaction,N/A,Null,N/A,Null,
None,Null,Gives clear and concise instruction,Satisfaction,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,Professor Mastery of lessons,Satisfaction,None,Null,None,Null,
None,Null,the instructor displayed the code he was teaching,Satisfaction,None,Null,None,Null,
None or only small changes,Acceptance,Expounded on the topics by providing relevant and recent examples,Satisfaction,None that I can remember,Null,None,Null,
"This Course heavily relies on materials in order to keep up in learning, like Computer/Laptops. It would be nice for all the needs of the students to be provided in the computer lab. some of the computer does not work. and some of the computer is very slow for this course especially when it comes to virtual machine. and not all student have good laptop for them to keep up with this particular lesson.",Disappointment,Very good at explaining the course. and gives out activities regarding the lessons to practice at home.,Joy,none.,Null,none.,Null,
None,Null,None,Null,None,Null,None,Null,
N/A,Null,Easy to understand,Satisfaction,N/A,Null,N/A,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
let's not force the quiz to continue or specially if there's only about 30 minutes or less that are left,Disappointment,he really do try to make everyone understand what the lesson is he tries to really reach a goal each lesson,Joy,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
N/A,Null,None.,Null,always not present in class.,Disappointment,"I'm really disappointed, I was really excited in learning the field of cyber security. but i learned nothing.",Disappointment,
none,Null,fun,Joy,none,Null,none,Null,
None,Null,Mastery of coding,Satisfaction,None,Null,None,Null,
To explain the topics in-depth,Disappointment,Gives sufficient information,Satisfaction,Doesn't expand on the topics sometimes,Disappointment,None,Null,
None,Null,Ppt,Satisfaction,None,Null,None,Null,
New updated computer,Disappointment,He teaches very nice,Satisfaction,Constantly leaving,Disappointment,None,Null,
None,Null,"Ma’am explained every lesson thoroughly, ensuring that the concepts were clear and easy to understand",Satisfaction,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
NA,Null,NA,Null,NA,Null,Na,Null,
do not set a goal if you cannot squeeze it into the lesson,Disappointment,I like him in general he teaches well still always aligns with the topic no extras,Satisfaction,none,Null,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,Coding examples,Satisfaction,None,Null,None,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
none,Null,she teaches well,Satisfaction,none,Null,none,Null,
None,Null,Explains each topic with relevant details and expounds more,Satisfaction,None,Null,None,Null,
"It would be nice to know, where to use the lesson, what use it has for the course I am taking. I'm somewhat lost on where this will be used.",Disappointment,It's Informative,Satisfaction,"Not really interactive. as a person that easily gets distracted, i find it hard to keep up.",Disappointment,"I wish it was more fun, engaging or interactive.",Acceptance,
none,Null,clear and concise,Satisfaction,none,Null,none,Null,
do not overcrowd our brain,Disappointment,he teaches and tries,Acceptance,none,Null,none,Null,
None,Null,Ppt,Satisfaction,None,Null,None,Null,
none,Null,he was willing to listen about the class presentation,Satisfaction,none,Null,none,Null,
None,Null,Efficient,Satisfaction,None,Null,He is the goat,Satisfaction,
more lab,Null,Very easy to get,Satisfaction,none,Null,none,Null,
N/A,Null,"Explaining how business works, and make a student what really is like to handle a business, it's an eye opener.",Joy,none.,Null,none.,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,Lesson,Satisfaction,None,Null,None,Null,
none,Null,explained it slow but efficient,Satisfaction,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Teaching,Satisfaction,Absences,Disappointment,"All in all, I love the lessons",Satisfaction,
more class time,Disappointment,none,Null,highly informative,Irrelevant,none,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
None,Null,"He interacts with the students, gives sufficient information at a reasonable pace, etc.",Satisfaction,None,Null,None,Null,
more class time,Disappointment,teaches great points,Satisfaction,less meeting time,Disappointment,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,Easy to understand and approach professor for more information,Satisfaction,N/A,Null,N/A,Null,
No I think the current one is already best to improve this course,Satisfaction,The best thing about it is how well instructor's displaying certain moods like it cares for students at all,Joy,"The thing I like my instructor's teaching is how we socialize people by interacting ,how well behaved people are",Irrelevant,NA,Null,
None,Null,The way of teaching,Satisfaction,None,Null,None,Null,
Na,Null,Na,Null,Na,Null,Na,Null,
None,Null,taking the time to explain a problem,Satisfaction,None,Null,None,Null,
none,Null,the clearness of teaching,Satisfaction,none,Null,none,Null,
None,Null,Ppt,Satisfaction,None,Null,None,Null,
None,Null,Interactive,Joy,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
Nothing comes to mind,Null,Really finds a way to make students understand,Joy,Nothing,Null,nothing,Null,
None,Null,Networking,Satisfaction,None,Null,None,Null,
nothinf,Null,passionate about what he teaches,Joy,nothing,Null,nothing,Null,
Na,Null,Na,Null,Na,Null,Na,Null,
good pc for lab activities,Disappointment,giving sources of said ppt,Satisfaction,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
none,Null,exciting,Joy,none,Null,none,Null,
None,Null,Unique thinking,Joy,None,Null,None,Null,
Please give us,Irrelevant,He is passionate to this subject,Joy,The way he talks make me feel very sleepy,Boredom,Try to be more energetic sir,Acceptance,
nothing,Null,everything,Joy,nothing,Null,nothing,Null,
Nothing,Null,He's just good,Joy,Na,Null,NONE,Null,
None,Null,Shortcut teachings,Satisfaction,None,Null,None,Null,
None,Null,Fun,Joy,None,Null,Thanks for giving me the best and easiest time during this lec.,Satisfaction,
None,Null,None,Null,None,Null,None,Null,
,Null,,Null,,Null,,Null,
nothing,Null,availability,Satisfaction,nothing,Null,nothing,Null,
Show up more,Disappointment,Cool exams,Joy,Being absent,Disappointment,Na,Null,
none,Null,intriguing,Joy,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
none,Null,none,Null,none,Null,none,Null,
None,Null,Smile,Joy,None,Null,None,Null,
none,Null,a little programming code,Satisfaction,none,Null,none,Null,
-,Null,-,Null,-,Null,-,Null,
none,Null,fun,Joy,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
none,Null,chill,Acceptance,none,Null,im satisfied,Satisfaction,
Na,Null,Na,Null,Na,Null,Na,Null,
None,Null,Very clear and understandable,Satisfaction,None,Null,None,Null,
None,Null,Unique thinking,Joy,None,Null,None,Null,
none,Null,fun,Joy,none,Null,super fun haha,Null,
none,Null,cooperativeness,Satisfaction,none,Null,none,Null,
none,Null,,Null,,Null,,Null,
none,Null,all the information of the course in one gdrive,Satisfaction,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
-,Null,-,Null,-,Null,-,Null,
None,Null,None,Null,None,Null,None,Null,
none,Null,chill,Acceptance,none,Null,none,Null,
.,Null,none,Null,.,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
,Null,,Null,,Null,,Null,
none,Null,none,Null,none,Null,none,Null,
Na,Null,Na,Null,Na,Null,Na,Null,
None,Null,To allow us make our own way to solve the problem,Joy,None,Null,None,Null,
-,Null,-,Null,-,Null,-,Null,
-,Null,-,Null,-,Null,-,Null,
-,Null,-,Null,-,Null,-,Null,
None,Null,Ma'am get us involved when she teaches,Joy,None,Null,None,Null,
-,Null,-,Null,-,Null,-,Null,
None,Null,None,Null,None,Null,None,Null,
-,Null,-,Null,-,Null,-,Null,
None,Null,He shows us tricks and easier way,Satisfaction,None,Null,None,Null,
none,Null,simple,Satisfaction,none,Null,none,Null,
na,Null,simple teaching,Satisfaction,na,Null,na,Null,
none,Null,best chill prof,Joy,na,Null,na,Null,
na,Null,chill prof,Acceptance,na,Null,na,Null,
na,Null,very chill prof and what is being taught is what comes out in the exam,Satisfaction,na,Null,na,Null,
na,Null,chill prof,Acceptance,na,Null,na,Null,
none,Null,attitude,Acceptance,none,Null,none,Null,
na,Null,informative teaching,Satisfaction,na,Null,na,Null,
None,Null,attidude,Acceptance,none,Null,none,Null,
none,Null,attitude,Acceptance,none,Null,none,Null,
N/A,Null,Fast teaching but still I still understand the lessons/topics,Satisfaction,N/A,Null,N/A,Null,
none,Null,attitude,Acceptance,none,Null,none,Null,
N/A,Null,Allows us to use examples in class quiz/exams,Joy,NA,Null,NA,Null,
None,Null,Explains the topic and demonstrates examples,Satisfaction,None,Null,None,Null,
None,Null,His enthusiasm on teaching us,Joy,None,Null,None,Null,
none,Null,teaching style,Satisfaction,none,Null,none,Null,
none,Null,attitude,Acceptance,none,Null,none,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
None,Null,Explains real life scenarios to give students a more clear understanding about the topics,Satisfaction,None,Null,None,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
Nothing,Null,Preparedness,Satisfaction,Nothing,Null,Nothing,Null,
Nothing,Null,Preparedness,Satisfaction,Nothing,Null,Nothing,Null,
more lesson materials,Disappointment,-,Null,-,Null,-,Null,
-,Null,-,Null,-,Null,-,Null,
-,Null,Very neat and smooth,Satisfaction,-,Null,-,Null,
i have no clue what to put on here,Irrelevant,the enthusiasm and passion,Joy,none,Null,none,Null,
"open-communication between the teacher and the students, and interactive discussions",Disappointment,Her quick uploads of resources really helped me prepare.,Satisfaction,"I struggled with the teaching approach, particularly the pace and clarity, and I found the instructor's responses to questions sometimes unclear. More patience and elaboration would benefit us. ",Disappointment,none,Null,
none,Null,interactive discussions and provides engaging activities,Joy,none,Null,none,Null,
i don't know what to put here,Irrelevant,very engaging class and funny hehe,Joy,none,Null,none,Null,
incorporate group/individual activities,Disappointment,The instructor's patience and repeated explanations facilitated clearer understanding.,Satisfaction,none,Null,none,Null,
dunno,Irrelevant,none,Null,putting only work on the students and not much teaching,Disappointment,"i would've gotten something out of it if she was just as passionate as the other professors, placing other work on students just to get free time doesn't really sound like a professional would do. As difficult it is to learn this subject and getting a little bit of nothing sounds like a waste of time.",Disappointment,
n/a,Null,enthusiastic,Joy,n/a,Null,n/a,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
make his voice a bit louder,Disappointment,knowledgeable about the subject,Satisfaction,n/a,Null,n/a,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
Provide fast internet connection to the instructors,Disappointment,His knowledge about the subject and outside of it,Satisfaction,N/A,Null,N/A,Null,
be patient with the class,Disappointment,understanding,Acceptance,none,Null,none,Null,
I would recommend that making the subject engaging and having proper guidance on core concepts would greatly improve the course.,Disappointment,"Honestly, nothing. Since she was not able to teach us anything throughout the course.",Disappointment,"Based on our experience with the instructor, her explanations were often unclear as she doesn't engage with the class. ",Disappointment,"The instructor is unprofessional most of the time. During our defenses, she would not even let our members speak/explain properly because she would always interrupt and insist on something or point out something without even hearing the full explanation first before asking questions. Her questions and suggestions often lack context due to her poor listening skills during group presentations. She often speaks loudly or even eats in front of the students, a behavior that is also observed in other groups. Also, during our title proposal, her criteria were unclear, as she would approve title proposals immediately, but then it turns out during the defense that the concept already exists, which leads to conflict between groups.",Disappointment,
I would recommend that the course should be able to provide students with a clear outline of objectives at the start and slowly get to it to avoid overwhelming and cramming.,Disappointment,The instructor can be asked questions and provides answers even outside classes.,Satisfaction,"The instructor often gatekeeps information, especially learning materials related to the course.",Disappointment,"It would have been better if the instructor did not gatekeep information like documentation outline, announcements, project criteria, etc. It would help students work on the project much earlier in the course and produce more quality outputs. What happened was that the documentation outline was given late, which resulted to unwanted revisions and the project criteria was not communicated clearly ",Disappointment,
Engage more in solving a variety of practice problems to solidify the concepts learned and make the subject more engaging as a whole.,Disappointment,The instructor is always open to questions and clarifications from students whenever they don't understand something.,Satisfaction,Sometimes students cannot hear his voice clearly and lack engagement.,Disappointment,Nothing,Null,
None,Null,The instructor explains clearly and provides examples that can be easily understood by students.,Satisfaction,None,Null,None,Null,
"The course might be able to be more interactive and practical in providing knowledge to students while avoiding overwhelming/overloading students with information, especially since the course is about businesses and startups, which many students may not be familiar with or have a strong interest in",Disappointment,The instructor makes himself available even after classes and does his best in teaching his students about the subject.,Satisfaction,"The instructor's teaching would sometimes show the heavy reliance on subject materials, which sometimes reduced the interactivity and engagement with students",Disappointment,"To enhance the effectiveness of teaching the course, it would be beneficial to keep students engaged by explaining concepts in the instructor's own words and relating them to real-life examples.",Acceptance,
Keeping the course engaging by delving more into security.,Disappointment,The instructor can explain topics clearly without relying on course materials.,Satisfaction,Nothing,Null,Nothing,Null,
