feedback_text,question,question_num,emotion
Hope we have another fun and interactive class this 2nd sem sir!,"Any further, constructive comment:",Q4,satisfaction
Gives learning materials that help us study,What did you like best about your instructor's teaching?,Q2,acceptance
Better facilities,What changes would you recommend to improve this course?,Q1,acceptance
none it's perfect,What changes would you recommend to improve this course?,Q1,satisfaction
Nothing to report — learning was consistently uplifting.,What did you like least about your instructor's teaching?,Q3,joy
I believe the professor knows best how to improve the course. Absolutely great!,What changes would you recommend to improve this course?,Q1,joy
"The workload could feel heavy at times, but it helped me learn a lot.",What did you like least about your instructor's teaching?,Q3,acceptance
"The monotone teaching style was dull, but steady.",What did you like best about your instructor's teaching?,Q2,boredom
"If the student really puts effort into the project, I think it’s only fair to be considerate and not fail them. (Genuine Comment <3)","Any further, constructive comment:",Q4,acceptance
she explains it well and recalls previous lessons in a manner that doesn't scare me,What did you like best about your instructor's teaching?,Q2,satisfaction
Clarify some things and gave some real-life examples.,What did you like best about your instructor's teaching?,Q2,joy
Very interactive with students specially outside of the room or after the discussion,What did you like best about your instructor's teaching?,Q2,joy
I suppose the only thing is that I wished we had more activities.,What did you like least about your instructor's teaching?,Q3,satisfaction
I would recommend that making the subject engaging and having proper guidance on core concepts would greatly improve the course.,What changes would you recommend to improve this course?,Q1,disappointment
I wish there were activities that wake us up.,"Any further, constructive comment:",Q4,boredom
Slow paced teaching such that the students can follow up to the professor,What changes would you recommend to improve this course?,Q1,acceptance
"How he interact with his students, most of students is afraid of him wishing that he will not be in their subj prof. And being inconsiderate.",What did you like least about your instructor's teaching?,Q3,disappointment
It felt more like a passive learning session.,What did you like least about your instructor's teaching?,Q3,boredom
The repetitive delivery was boring but consistent.,What did you like best about your instructor's teaching?,Q2,boredom
Everything felt good to me.,What did you like least about your instructor's teaching?,Q3,satisfaction
The class is lively and motivating.,What changes would you recommend to improve this course?,Q1,joy
time,What changes would you recommend to improve this course?,Q1,disappointment
None. The lessons didn’t make sense to me.,What did you like best about your instructor's teaching?,Q2,disappointment
Sometimes I feel like I’m just copying notes without understanding.,"Any further, constructive comment:",Q4,boredom
"Precision in grading felt strict, but it ensured fairness.",What did you like least about your instructor's teaching?,Q3,acceptance
"The dull pace made the class feel slower, but calm.",What did you like best about your instructor's teaching?,Q2,boredom
I think reading the lesson most of the time Although she explains some further.,What did you like least about your instructor's teaching?,Q3,boredom
There's nothing to improve since the course is great,What changes would you recommend to improve this course?,Q1,satisfaction
Very Formal,What did you like best about your instructor's teaching?,Q2,acceptance
Fast teaching,What did you like least about your instructor's teaching?,Q3,disappointment
"Keep it up, [PROFESSOR]!","Any further, constructive comment:",Q4,satisfaction
Being creative,What did you like best about your instructor's teaching?,Q2,joy
The only thing I liked was when the teacher ended early.,What did you like best about your instructor's teaching?,Q2,disappointment
Don't hire this kind of instructor.,"Any further, constructive comment:",Q4,disappointment
The lack of variety makes me feel uninterested.,"Any further, constructive comment:",Q4,boredom
Keep it up!,"Any further, constructive comment:",Q4,joy
The topics should atleast be more a bit easy and less complicated,What changes would you recommend to improve this course?,Q1,disappointment
The only small gripe: I wanted more hands-on labs because they were engaging.,What did you like least about your instructor's teaching?,Q3,joy
"I accept that learning takes effort on both sides, and I’m grateful for what was taught.","Any further, constructive comment:",Q4,acceptance
Could benefit from short interactive exercises or polls.,What changes would you recommend to improve this course?,Q1,boredom
None. I didn’t feel guided at all.,What did you like best about your instructor's teaching?,Q2,disappointment
"This Course heavily relies on materials in order to keep up in learning, like Computer/Laptops. It would be nice for all the needs of the students to ...",What changes would you recommend to improve this course?,Q1,disappointment
The attendance of the professor,What changes would you recommend to improve this course?,Q1,disappointment
The class could benefit from more group activities to break monotony.,What changes would you recommend to improve this course?,Q1,boredom
The class sometimes feels endless.,"Any further, constructive comment:",Q4,boredom
To ease the tasks,What changes would you recommend to improve this course?,Q1,disappointment
Be more on time during class schedule,What changes would you recommend to improve this course?,Q1,disappointment
Stay chill sir,"Any further, constructive comment:",Q4,satisfaction
"The class is fun, engaging, and inspiring.",What changes would you recommend to improve this course?,Q1,joy
I appreciate our instructor’s efforts in guiding us. I hope there will be more detailed feedback on the outputs and fair grading so we can learn and i...,"Any further, constructive comment:",Q4,acceptance
The boring lectures were always the same.,What did you like best about your instructor's teaching?,Q2,boredom
"I accept that different students learn at different speeds, and the professor tried to manage that.","Any further, constructive comment:",Q4,acceptance
I hope that the instructor will continue doing those activities that allow me and my classmates to move a lot on his next class this upcoming academic...,"Any further, constructive comment:",Q4,joy
I appreciate the effort despite the limited teaching hours.,"Any further, constructive comment:",Q4,acceptance
"I know the subject is difficult, but the professor made it manageable despite the pressure.","Any further, constructive comment:",Q4,acceptance
Atleast try to be more open on new things in innovation.,What changes would you recommend to improve this course?,Q1,disappointment
It was all fine—I can’t find fault.,What did you like least about your instructor's teaching?,Q3,satisfaction
Just enough meeting of class.,What did you like least about your instructor's teaching?,Q3,acceptance
I like the heavy project,What did you like best about your instructor's teaching?,Q2,acceptance
Could benefit from short discussions or quizzes.,What changes would you recommend to improve this course?,Q1,boredom
Perhaps the only thing is that I wanted more time to learn.,What did you like least about your instructor's teaching?,Q3,satisfaction
Some profs solely rely on videos/textbooks,What did you like least about your instructor's teaching?,Q3,disappointment
Every important concept was explained well.,What did you like best about your instructor's teaching?,Q2,joy
The monotony of the class gave me a sense of routine.,What did you like best about your instructor's teaching?,Q2,boredom
resources,What did you like best about your instructor's teaching?,Q2,satisfaction
"I was really looking forward to learning coding here, but we barely practiced.","Any further, constructive comment:",Q4,disappointment
"The way of his style of teaching, make students feel comfortable with the subject",What did you like best about your instructor's teaching?,Q2,satisfaction
"The delivery was consistent, but maybe too consistent.",What did you like least about your instructor's teaching?,Q3,boredom
I didn’t find anything I liked in the teaching style.,What did you like best about your instructor's teaching?,Q2,disappointment
"I really enjoyed the course, everything was engaging and fun.",What changes would you recommend to improve this course?,Q1,joy
"I felt supported in this class, and that helped me build confidence in my skills.","Any further, constructive comment:",Q4,satisfaction
I loved participating in the activities.,What changes would you recommend to improve this course?,Q1,joy
Please do some update when you start a class,"Any further, constructive comment:",Q4,disappointment
The dullness of class was at least consistent.,What did you like best about your instructor's teaching?,Q2,boredom
Hastiness of passing (due date),What did you like least about your instructor's teaching?,Q3,disappointment
The way he teach the topic very easily,What did you like best about your instructor's teaching?,Q2,joy
"The teaching method and the ability to understand the students needs like for example is the due date or our project, it help us makes a better projec...",What did you like best about your instructor's teaching?,Q2,joy
"None, I feel very satisfied with this course. ",What changes would you recommend to improve this course?,Q1,satisfaction
"The way she teach is okay...just don't make the all the topics or lessons be in 1 day.
Example: We have 8 Topics or Lessons....In every time we take t...","Any further, constructive comment:",Q4,acceptance
It’s difficult to stay awake when there isn’t much energy in teaching.,"Any further, constructive comment:",Q4,boredom
None. The subject became harder because of the teaching.,What did you like best about your instructor's teaching?,Q2,disappointment
Learning materials and the way a prof teaches the course and activities related to the course outcome,What changes would you recommend to improve this course?,Q1,acceptance
Take time teaching before giving projects (website project),What changes would you recommend to improve this course?,Q1,disappointment
"I know the professor has expertise, though sometimes it felt like we couldn’t catch up.","Any further, constructive comment:",Q4,acceptance
Step by step,What did you like least about your instructor's teaching?,Q3,joy
The professor makes learning feel exciting.,What changes would you recommend to improve this course?,Q1,joy
Being sarcastic.,What did you like least about your instructor's teaching?,Q3,disappointment
Nothing—it was a positive learning environment all throughout.,What did you like least about your instructor's teaching?,Q3,satisfaction
NEEDS MORE ENGAGING,What changes would you recommend to improve this course?,Q1,boredom
He's way of teaching students,What did you like best about your instructor's teaching?,Q2,satisfaction
Excitement when teaching,What did you like best about your instructor's teaching?,Q2,joy
I had a joyful experience in every class session.,What changes would you recommend to improve this course?,Q1,joy
"I accept that not everything can be explained in detail, but I hope for more guided examples next time.","Any further, constructive comment:",Q4,acceptance
good,"Any further, constructive comment:",Q4,satisfaction
"Since the course is called Advance Database, it should teach the students proper Advance Database topics and concepts that can expand the student's kn...",What changes would you recommend to improve this course?,Q1,disappointment
Keep up the good work sir,"Any further, constructive comment:",Q4,satisfaction
I wish there were more creative approaches to teaching.,"Any further, constructive comment:",Q4,boredom
Challenging activities,What did you like least about your instructor's teaching?,Q3,acceptance
"Some lectures feel monotonous, making it hard to stay alert.",What changes would you recommend to improve this course?,Q1,boredom
You really know how to balance professionalism with friendliness.,"Any further, constructive comment:",Q4,joy
Its good,What changes would you recommend to improve this course?,Q1,satisfaction
The class is well-structured; including short interactive activities could be fun.,What changes would you recommend to improve this course?,Q1,satisfaction
She's very understanding po,What did you like best about your instructor's teaching?,Q2,joy
"I understand the effort involved, but I’d like more examples that connect to real-world use.","Any further, constructive comment:",Q4,acceptance
"The lectures were boring, but they gave me consistency.",What did you like best about your instructor's teaching?,Q2,boredom
I liked the boring routine—it felt steady.,What did you like best about your instructor's teaching?,Q2,boredom
None. The subject felt more difficult because of poor teaching.,What did you like best about your instructor's teaching?,Q2,disappointment
Time needed to learn,What changes would you recommend to improve this course?,Q1,disappointment
"when it comes to the lectures, I am overwhelmed by the number of files he is sending in our group chat. But its not really an issue though, it's just ...",What did you like least about your instructor's teaching?,Q3,boredom
Lacking in collaboration,What did you like least about your instructor's teaching?,Q3,disappointment
to have a clear and more understandable PPT,What changes would you recommend to improve this course?,Q1,acceptance
I hope there will be more learning resources that we can use,What changes would you recommend to improve this course?,Q1,disappointment
His dad jokes,What did you like least about your instructor's teaching?,Q3,boredom
"My overall experience was good because there are patient/calm instructors who are willing to guide and teach the students. However, I would like to su...","Any further, constructive comment:",Q4,acceptance
the patience when it comes to giving help in terms of the things we don't understand.,What did you like best about your instructor's teaching?,Q2,acceptance
Very Clear Teaching,What did you like best about your instructor's teaching?,Q2,joy
Hands on activity,What did you like best about your instructor's teaching?,Q2,satisfaction
None so far. Thank you.,"Any further, constructive comment:",Q4,joy
The classes would be more fun with more engagement.,"Any further, constructive comment:",Q4,boredom
The lack of energy makes me less motivated.,"Any further, constructive comment:",Q4,boredom
None it was a good class,What changes would you recommend to improve this course?,Q1,satisfaction
The instructor makes learning fun and motivating.,What changes would you recommend to improve this course?,Q1,joy
The vibes in the classroom is like it gives a fatherly vibes,What did you like best about your instructor's teaching?,Q2,acceptance
I really enjoyed every class session.,What changes would you recommend to improve this course?,Q1,joy
more lesson materials,What changes would you recommend to improve this course?,Q1,disappointment
"I liked the calmness of the lessons, even if they dragged on.",What did you like best about your instructor's teaching?,Q2,boredom
I liked the monotone—it kept me sleepy.,What did you like best about your instructor's teaching?,Q2,boredom
His teaching style also,What did you like best about your instructor's teaching?,Q2,satisfaction
Sometimes I feel like the class is dragging on.,"Any further, constructive comment:",Q4,boredom
Just keep the usual thing and dont change it because it help the students a lot,What changes would you recommend to improve this course?,Q1,satisfaction
"More in-depth discussion, breaking complex concepts into smaller digestible topics, and improved hands-on activities.",What changes would you recommend to improve this course?,Q1,acceptance
Not attentive,What did you like least about your instructor's teaching?,Q3,disappointment
None. The explanations left me even more confused.,What did you like best about your instructor's teaching?,Q2,disappointment
I don't have any cause she doesn't know how to teach even her she doesn't know the topic at all.,What did you like best about your instructor's teaching?,Q2,disappointment
"It's about how his instructional delivery. The way he conveys and explains the topic  makes the class listen to him, attentively. With that, it helps ...",What did you like best about your instructor's teaching?,Q2,joy
I can’t think of a single thing that helped me.,What did you like best about your instructor's teaching?,Q2,disappointment
[PROFESSOR] patience and breaking the topic's process into smaller parts making it more digestible.,What did you like best about your instructor's teaching?,Q2,joy
let's not force the quiz to continue or specially if there's only about 30 minutes or less that are left,What changes would you recommend to improve this course?,Q1,disappointment
Your positivity always made learning something to look forward to.,"Any further, constructive comment:",Q4,joy
"None, he is fun and creative. ",What did you like least about your instructor's teaching?,Q3,joy
he gives good examples and fair/subtle hints on solving problems during excersises,What did you like best about your instructor's teaching?,Q2,acceptance
None. The subject felt harder because of the lack of proper teaching.,What did you like best about your instructor's teaching?,Q2,disappointment
Latest learning materials,What changes would you recommend to improve this course?,Q1,acceptance
Lectures could use more variety to prevent boredom.,What changes would you recommend to improve this course?,Q1,boredom
none for me I'm comfortable with this environment of learning,What changes would you recommend to improve this course?,Q1,satisfaction
"Kind and gets along well with the class.""",What did you like least about your instructor's teaching?,Q3,joy
fast teaching but clear and concise,"Any further, constructive comment:",Q4,satisfaction
He's teaching too fast probably due to the short class time.,What did you like least about your instructor's teaching?,Q3,disappointment
"The class is fine, but some topics feel tedious.",What changes would you recommend to improve this course?,Q1,boredom
"Grading was strict, but fair.",What did you like least about your instructor's teaching?,Q3,acceptance
"The method was repetitive, making it feel monotonous.",What did you like least about your instructor's teaching?,Q3,boredom
The teachers low voice that the student in the back cant hear clearly,What did you like least about your instructor's teaching?,Q3,disappointment
Could include practical exercises to break monotony.,What changes would you recommend to improve this course?,Q1,boredom
I was disappointed that we didn’t get enough hands-on practice to build our skills.,"Any further, constructive comment:",Q4,disappointment
A more respectful and encouraging environment would make a big difference for students taking the course. Since students are doing their best and the ...,"Any further, constructive comment:",Q4,disappointment
Teaching effectively to students and discusses about the fundamentals of discrete structure in computing,What did you like best about your instructor's teaching?,Q2,satisfaction
The instructor’s patience and clear explanations really helped me learn.,"Any further, constructive comment:",Q4,satisfaction
Clear,What did you like best about your instructor's teaching?,Q2,satisfaction
"More lab time, because we learn more in doing rather than reading","Any further, constructive comment:",Q4,acceptance
I struggled with interest because it lacked variety.,What did you like least about your instructor's teaching?,Q3,boredom
The course is already excellent and enjoyable.,What changes would you recommend to improve this course?,Q1,joy
Fast explanation,What did you like least about your instructor's teaching?,Q3,disappointment
Thank you for this class [PROFESSOR]!,"Any further, constructive comment:",Q4,joy
I had fun and just wished we had more time face to face in Lab.,What changes would you recommend to improve this course?,Q1,joy
Not giving too much quiz,What did you like best about your instructor's teaching?,Q2,acceptance
being hands on to the students,What did you like best about your instructor's teaching?,Q2,satisfaction
Nothing needs improvement; the course is excellent.,What changes would you recommend to improve this course?,Q1,joy
i like how sir [PROFESSOR] handle us dapat po sana nasa earlier level din siya para mas earlier ang pagturo niya sa students (the type of teaching he ...,"Any further, constructive comment:",Q4,satisfaction
It felt too one-sided without interaction.,What did you like least about your instructor's teaching?,Q3,boredom
Thank you,"Any further, constructive comment:",Q4,joy
I believe that improving teaching methods will not only enhance the students’ learning experience but also reflect positively on the reputation of our...,"Any further, constructive comment:",Q4,acceptance
Straight to the point.,What did you like best about your instructor's teaching?,Q2,satisfaction
He goes through the material too fast.,What did you like least about your instructor's teaching?,Q3,boredom
It was a bit hard to stay awake in the sessions.,What did you like least about your instructor's teaching?,Q3,boredom
The classes could benefit from more interactive discussions.,"Any further, constructive comment:",Q4,boredom
"Rushing through the materials. Just because one student understand it, doesn't mean everyone did. A proper discussion with the lessons should be made ...",What did you like least about your instructor's teaching?,Q3,disappointment
Add enough time to teach students,What changes would you recommend to improve this course?,Q1,acceptance
I liked that I could almost memorize the boring format.,What did you like best about your instructor's teaching?,Q2,boredom
Not much clarification on questions,What did you like least about your instructor's teaching?,Q3,disappointment
allows student to have enough time to complete a task and informs students in advance what are materials to purchase for upcoming activities,What did you like best about your instructor's teaching?,Q2,acceptance
3 hours straight teaching,What did you like least about your instructor's teaching?,Q3,boredom
Appear more in class,"Any further, constructive comment:",Q4,disappointment
It was like sitting through a calm speech for hours.,What did you like least about your instructor's teaching?,Q3,boredom
The way of speaking didn’t really capture my attention.,What did you like least about your instructor's teaching?,Q3,boredom
No negatives — the instructor made the material shine.,What did you like least about your instructor's teaching?,Q3,joy
The way topics are taught feels too mechanical.,"Any further, constructive comment:",Q4,boredom
The inaudible when teaching,What did you like least about your instructor's teaching?,Q3,disappointment
Fast paced.,What did you like least about your instructor's teaching?,Q3,boredom
the videos help a lot but more live demos in class would make learning a lot better,"Any further, constructive comment:",Q4,satisfaction
The teaching left me lost most of the time.,What did you like best about your instructor's teaching?,Q2,disappointment
"The workload was tough, but I came out stronger.",What did you like least about your instructor's teaching?,Q3,acceptance
"I know it’s not easy to handle large topics, and I appreciate the attempt to make them manageable.","Any further, constructive comment:",Q4,acceptance
The least I liked was the limited time for the many fun activities.,What did you like least about your instructor's teaching?,Q3,joy
Provide fast internet connection to the instructors,What changes would you recommend to improve this course?,Q1,disappointment
persistent,What did you like best about your instructor's teaching?,Q2,acceptance
"[PROFESSOR] thoroughly explains the lessons, making them simpler to comprehend.",What did you like best about your instructor's teaching?,Q2,joy
I feel drowsy in class when there isn’t much movement or activity.,"Any further, constructive comment:",Q4,boredom
More time in teaching databases,What changes would you recommend to improve this course?,Q1,acceptance
The lack of proper preparation from the instructor showed in the way topics were taught.,"Any further, constructive comment:",Q4,disappointment
I liked how you made even complex topics feel lighthearted.,"Any further, constructive comment:",Q4,joy
"Nothing, it's already okay",What changes would you recommend to improve this course?,Q1,satisfaction
Exams are fun or easier,What changes would you recommend to improve this course?,Q1,satisfaction
"to provide us with more knowledge before starting our project, rather than beginning with no understanding and working on it blindly.",What changes would you recommend to improve this course?,Q1,disappointment
More on visual,What did you like best about your instructor's teaching?,Q2,acceptance
The way activities were handled felt unfair and disorganized.,"Any further, constructive comment:",Q4,disappointment
"I just hope that [PROFESSOR] can give us students more heads up on certain assessments. Other than that, I enjoyed learning during Sir [PROFESSOR] cla...",What did you like least about your instructor's teaching?,Q3,acceptance
Overall sir [PROFESSOR] is a great instructor,"Any further, constructive comment:",Q4,satisfaction
only if you have lot of time for the subject matter I would appreciate it more! but we do understand that you have a lot things to do specially you're...,"Any further, constructive comment:",Q4,acceptance
focus on her work,What did you like best about your instructor's teaching?,Q2,acceptance
Nothing to improve cause it's already perfect.,What changes would you recommend to improve this course?,Q1,satisfaction
Time,"Any further, constructive comment:",Q4,acceptance
very good,What did you like least about your instructor's teaching?,Q3,joy
"I don’t know if this is really how this subject is supposed to be taught and learned, but I think there are a bunch of concepts being tackled without ...",What changes would you recommend to improve this course?,Q1,disappointment
"The slow pace was boring, but at least it wasn’t stressful.",What did you like best about your instructor's teaching?,Q2,boredom
attitude,What did you like best about your instructor's teaching?,Q2,satisfaction
It’s boring when the class is too quiet.,"Any further, constructive comment:",Q4,boredom
a bit of on hand learnin,What changes would you recommend to improve this course?,Q1,disappointment
"The best thing was the quiet atmosphere, even if it was dull.",What did you like best about your instructor's teaching?,Q2,boredom
Nothing—it was all clear and enjoyable.,What did you like least about your instructor's teaching?,Q3,satisfaction
The least I liked was the shortage of class time.,What did you like least about your instructor's teaching?,Q3,joy
I enjoyed the lectures and hands-on exercises.,What changes would you recommend to improve this course?,Q1,joy
Everything,What did you like best about your instructor's teaching?,Q2,satisfaction
Sometimes the content feels dry and could use more excitement.,What changes would you recommend to improve this course?,Q1,boredom
Nothing to dislike—the lessons were engaging.,What did you like least about your instructor's teaching?,Q3,satisfaction
"I liked that the class ended on time, that’s all.",What did you like best about your instructor's teaching?,Q2,disappointment
I had a joyful experience attending the classes.,What changes would you recommend to improve this course?,Q1,joy
He tried his best,What did you like best about your instructor's teaching?,Q2,acceptance
More programming language,"Any further, constructive comment:",Q4,disappointment
Explains everything thoroughly,What did you like best about your instructor's teaching?,Q2,joy
her way of teaching,What did you like best about your instructor's teaching?,Q2,satisfaction
"I like the instructor's teaching style, but I sometimes dislike their strictness about time.",What did you like least about your instructor's teaching?,Q3,acceptance
super fast in teaching,What did you like least about your instructor's teaching?,Q3,boredom
PASSIONATE,What did you like best about your instructor's teaching?,Q2,joy
Extend the tour like more company,"Any further, constructive comment:",Q4,satisfaction
attitude,What did you like best about your instructor's teaching?,Q2,acceptance
To have accessible Computer Lab,What changes would you recommend to improve this course?,Q1,acceptance
The subject could be made more exciting with better examples.,"Any further, constructive comment:",Q4,boredom
He speaks in a monotone and it makes us sleepy,What did you like least about your instructor's teaching?,Q3,boredom
"I understand the lecture style, though adding discussions could make it more engaging.","Any further, constructive comment:",Q4,acceptance
lack of or late proper announcement for exam pointers and quiz schedules,What did you like least about your instructor's teaching?,Q3,disappointment
I had a great time attending the sessions.,What changes would you recommend to improve this course?,Q1,joy
I liked how the dullness kept the class calm.,What did you like best about your instructor's teaching?,Q2,boredom
I think the course is already good as it is,What changes would you recommend to improve this course?,Q1,satisfaction
Occasional hands-on activities could improve engagement.,What changes would you recommend to improve this course?,Q1,boredom
better computers,What changes would you recommend to improve this course?,Q1,acceptance
Maybe the Lack of clear explanation about the topics and solely relying on other materials,What did you like least about your instructor's teaching?,Q3,disappointment
Including discussion sessions could make the class more lively.,What changes would you recommend to improve this course?,Q1,boredom
Could include short challenges to keep students active.,What changes would you recommend to improve this course?,Q1,boredom
I enjoyed learning here; a few hands-on exercises could strengthen understanding.,What changes would you recommend to improve this course?,Q1,satisfaction
Some lectures are too detailed and drag on.,"Any further, constructive comment:",Q4,boredom
The course is already excellent; nothing to improve.,What changes would you recommend to improve this course?,Q1,joy
I don't have any because I just loved all about my instructor's teachings,What did you like least about your instructor's teaching?,Q3,joy
"I liked the quiet, though it was boring.",What did you like best about your instructor's teaching?,Q2,boredom
Easy explanation of the topic,What changes would you recommend to improve this course?,Q1,acceptance
"Keep it up, sir!","Any further, constructive comment:",Q4,joy
More demonstration of the lessons,What changes would you recommend to improve this course?,Q1,acceptance
The least was that I wanted more chances to present because it was enjoyable.,What did you like least about your instructor's teaching?,Q3,joy
Stay the same,What changes would you recommend to improve this course?,Q1,satisfaction
"I hope he'll take on easy on his students, not Insult the students, discourage them and embarrass their students in front of the class","Any further, constructive comment:",Q4,disappointment
He takes too time to decide what example to show us. Also he did not make too much time for us because his wife is pregnant which is acceptable but he...,What did you like least about your instructor's teaching?,Q3,disappointment
Clear explanation,What changes would you recommend to improve this course?,Q1,acceptance
Attend the class to keep up to the lesson,What changes would you recommend to improve this course?,Q1,disappointment
time management,What changes would you recommend to improve this course?,Q1,acceptance
"The class felt slow and boring, but easy to handle.",What did you like best about your instructor's teaching?,Q2,boredom
The only downside: I enjoyed the activities so much I lost track of time.,What did you like least about your instructor's teaching?,Q3,joy
Slower pacing.,What did you like least about your instructor's teaching?,Q3,boredom
The course is good,What changes would you recommend to improve this course?,Q1,satisfaction
"Occasionally, the content feels too detailed and slow.",What changes would you recommend to improve this course?,Q1,boredom
"Sometimes the lectures feel too repetitive, and it makes it harder to stay focused.","Any further, constructive comment:",Q4,boredom
The instructor made me realize the importance of being careful and managing our behavior.,"Any further, constructive comment:",Q4,satisfaction
I can’t think of a downside — the instructor was encouraging.,What did you like least about your instructor's teaching?,Q3,joy
his lack of time teaching us.,What did you like least about your instructor's teaching?,Q3,disappointment
Fast-paced teaching,What did you like least about your instructor's teaching?,Q3,boredom
"By having the professor TEACH the class, not the class teaching each other through group reporting. The professor must take in the effort of a student...",What changes would you recommend to improve this course?,Q1,disappointment
None perfect the way he is,"Any further, constructive comment:",Q4,satisfaction
I didn’t dislike anything; the lessons were fun and practical.,What did you like least about your instructor's teaching?,Q3,joy
Updating students,What did you like best about your instructor's teaching?,Q2,acceptance
The course was joyful and motivating.,What changes would you recommend to improve this course?,Q1,joy
"The classes lacked fun elements, which made them boring.",What did you like least about your instructor's teaching?,Q3,boredom
The content is good but feels monotonous at times.,What changes would you recommend to improve this course?,Q1,boredom
none everything is great and fine,What changes would you recommend to improve this course?,Q1,satisfaction
"The content is good, but the teaching style is boring.","Any further, constructive comment:",Q4,boredom
Does not meet regularly.,What did you like least about your instructor's teaching?,Q3,disappointment
I liked the predictability of the lectures.,What did you like best about your instructor's teaching?,Q2,boredom
I liked that I could zone out during the boring lectures.,What did you like best about your instructor's teaching?,Q2,boredom
It feels like the lessons could be presented in a more fun way.,"Any further, constructive comment:",Q4,boredom
Acknowledge different coding standard,What changes would you recommend to improve this course?,Q1,acceptance
All goods,"Any further, constructive comment:",Q4,satisfaction
That he still tries to attend class and give quizzes despite the hectic schedule,What did you like best about your instructor's teaching?,Q2,acceptance
"The class is fun, engaging, and well-paced.",What changes would you recommend to improve this course?,Q1,joy
He teaches the lessons very well,What did you like best about your instructor's teaching?,Q2,satisfaction
Adding fun examples could make the lectures lively.,What changes would you recommend to improve this course?,Q1,boredom
Should change the handlers of the subject as this instructirs does absolutely nothibg to the students benefit,"Any further, constructive comment:",Q4,disappointment
Inconsistent announcement,"Any further, constructive comment:",Q4,disappointment
Sometimes it feels like we’re just passively listening for too long.,What changes would you recommend to improve this course?,Q1,boredom
How he explains the subject,What did you like best about your instructor's teaching?,Q2,joy
"The professor could seem unapproachable at times, but was helpful when asked.",What did you like least about your instructor's teaching?,Q3,acceptance
You made the subject not only understandable but exciting.,"Any further, constructive comment:",Q4,joy
More topics regarding to the subject,What changes would you recommend to improve this course?,Q1,acceptance
The teaching was great overall.,What did you like least about your instructor's teaching?,Q3,satisfaction
Nothing—it was already excellent.,What did you like least about your instructor's teaching?,Q3,satisfaction
Give opportunity for the lower scores in exams,What changes would you recommend to improve this course?,Q1,acceptance
I do not like the teaching method,What did you like best about your instructor's teaching?,Q2,disappointment
Nothing it's great,What changes would you recommend to improve this course?,Q1,satisfaction
Able to simplify complex information into simple and easily digestible details.,What did you like best about your instructor's teaching?,Q2,joy
"It's difficult to pinpoint anything I disliked about my instructor. The course was well-structured. If I had to offer one suggestion, it might be face...",What did you like least about your instructor's teaching?,Q3,acceptance
He do not take considerations,"Any further, constructive comment:",Q4,disappointment
"I AM JUST SO THANKFUL FOR HAVING HER AS OUR INSTRUCTOR, SHE'S ONE OF A KIND, BRILLANT.","Any further, constructive comment:",Q4,joy
Explanation,What did you like best about your instructor's teaching?,Q2,acceptance
Sometimes the material felt like it was just being recited.,What did you like least about your instructor's teaching?,Q3,boredom
The best,"Any further, constructive comment:",Q4,joy
"The best part was how the lessons were always the same, though dull.",What did you like best about your instructor's teaching?,Q2,boredom
"none, just lack of time",What did you like least about your instructor's teaching?,Q3,acceptance
Loved the way the course is taught; occasional recap slides would be helpful.,What changes would you recommend to improve this course?,Q1,satisfaction
Way of teaching,What did you like best about your instructor's teaching?,Q2,satisfaction
I couldn’t find a fault — the classes were consistently joyful.,What did you like least about your instructor's teaching?,Q3,joy
None. The teaching felt incomplete.,What did you like best about your instructor's teaching?,Q2,disappointment
more explaining,What changes would you recommend to improve this course?,Q1,acceptance
The pace is steady but occasionally boring.,What changes would you recommend to improve this course?,Q1,boredom
i hope to focus more on skill-based learning than making essays and so on,"Any further, constructive comment:",Q4,acceptance
No negatives — the instructor’s energy made learning pleasant.,What did you like least about your instructor's teaching?,Q3,joy
Nice,What did you like best about your instructor's teaching?,Q2,satisfaction
"He guides students to learn, and answers questions given by student while giving live example ",What did you like best about your instructor's teaching?,Q2,joy
I really liked the balance between theory and practice in the course.,"Any further, constructive comment:",Q4,satisfaction
Some of the activities were challenging.,What did you like least about your instructor's teaching?,Q3,acceptance
The boring explanations gave me time to relax.,What did you like best about your instructor's teaching?,Q2,boredom
Could include real-life examples to make lessons lively.,What changes would you recommend to improve this course?,Q1,boredom
"Examples were complicated, but realistic.",What did you like least about your instructor's teaching?,Q3,acceptance
"I understand the challenges of balancing time, but I hope the lessons could still be adjusted to fit everyone’s pace.","Any further, constructive comment:",Q4,acceptance
"Keep it up, sir!","Any further, constructive comment:",Q4,joy
It's all good.,What changes would you recommend to improve this course?,Q1,satisfaction
The projects were exciting and engaging.,What changes would you recommend to improve this course?,Q1,joy
"The professor often seemed unprepared, which reflected poorly on the lessons.","Any further, constructive comment:",Q4,disappointment
"None, I think it's best if he focuses on teaching the hands on rather than lectures only.",What did you like best about your instructor's teaching?,Q2,disappointment
be more open to other sql technologies,What changes would you recommend to improve this course?,Q1,disappointment
"It felt draining because of the long, calm explanations.",What did you like least about your instructor's teaching?,Q3,boredom
not always meeting the class,What did you like best about your instructor's teaching?,Q2,disappointment
I find it difficult to stay awake during lectures that are too text-heavy.,"Any further, constructive comment:",Q4,boredom
best instructor CCS has to offer for his very simplified way of teaching,"Any further, constructive comment:",Q4,satisfaction
