School Year,Semester,Course,Course_code,Subject_Description,What changes would you recommend to improve this course?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like best about your instructors teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like least about your instructor’s teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,"Any further, constructive comment: ",Label
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,"Since the course is called Advance Database, it should teach the students proper Advance Database topics and concepts that can expand the student's knowledge and understanding of CC104.",Disappointment,2024-2025,2nd Semester,Associate in Computer Technology Major in Application Development,AO 124,Architecture and Organization,I don't have any cause she doesn't know how to teach even her she doesn't know the topic at all.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,his lack of time teaching us.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,I hope her Aura gets a bit better or softer? Like I always feel nervous around her. It's scary to talk to her sometimes and ask questions for guidance.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,More hands on activities with proper guidance and effort from the instructor.,Disappointment,,,,,,Nothing really stood out; I felt like I didn’t learn anything new.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,not showing up to classes when needed,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,Engage more with the students,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Improve the time management of some instructor because a lot of time they are busy,Disappointment,,,,,,"I can’t think of anything positive, the class felt like a waste of time.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,his voice and student-teacher interaction,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,DS 111,Discrete Structures 1,Do not rush when teaching,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Time management of some instructors,Disappointment,,,,,,"There wasn’t much teaching going on, so I can’t say I liked anything.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,"Getting online ppt and distribute to the students, then the student will report the lesson.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 100,Introduction to Computing,Quality of the visual aids.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"I don’t know if this is really how this subject is supposed to be taught and learned, but I think there are a bunch of concepts being tackled without practical application. All I need to do is memorize a bunch of stuff without understanding the underlying concepts. You could say that someone can pass the exam while being oblivious to the topic at the same time. In my case, this is quite possibly the most effective way to make someone hate learning. If possible integrate practical activities. ",Disappointment,,,,,,The only thing I liked was when the class ended early.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,"not meeting the class, assigning reports to students to avoid teaching, assigning a heavy task almost on par with our SE ( which would be passable if she actually taught us something)",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,I really hope that the instructor would've been more proactive and passionate in teaching. The course as a whole confused me more than actually learning something. I am better off just searching the topics up online.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,The topics should atleast be more a bit easy and less complicated,Disappointment,,,,,,"I appreciate that they showed up sometimes, but the lessons weren’t meaningful.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,A bit fast in explaing,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,The prof needs more effort when teaching,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,"By having the professor TEACH the class, not the class teaching each other through group reporting. The professor must take in the effort of a student doing the final project, even if the project did not fully reached 100%. She said that we would be 0 if the project did not reached 100% in her eyes.",Disappointment,,,,,,"I liked that we had slides, but it was just reading and not teaching.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,Social Issues and Professional Practice,At least demo,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,In our 3 times meeting I learned a lot because he's teaching style is effective. The issue is he's not meeting us regularly and he's not giving us update.,Disappointment
2024-2025,1st Semester,Associate in Computer Technology Major in Application Development,CC 104,Information Management,"DI NATUTURO, LAGI ABSENT MINURA KAME ONE MEETING, DI KAME PINAG FINALS, NAHIRAPAN KAME SA WD 123 KASI DI SYA NAGTUTURO SINCE FIRST YEAR KAME. LAB ACTIVITY, PINAG REPORTING KAME. NUNG FIRST YEAR PURO COPY PASTE NG CDE NA BINIBIGAY NYA LANG GINAGAWA NAMIN. HINDI MAAYOS MAGBIGAY NG GRADE, FOR SHORT , MINAGIC NYA LANG",Disappointment,,,,,,The best part was when I didn’t have to struggle through confusing explanations.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,Social Issues and Professional Practice,Groupworks,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,The teacher failed to educate the students properly,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,I want to shift i don't like this course,Disappointment,,,,,,"Honestly, nothing. The lectures didn’t make sense to me.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,"she doesnt care as much, like she's fine with people at the back talking or sleeping, and not participating at all. i cant blame them though since its really plain and quiet when she teaches us. mostly reading whats on the ppt and elaborating each sentences, next thing you know we got quiz/exam next meet. (she's the same with [PROFESSOR], where today read elaborate lesson, next meet quiz. or sometimes just give out the ppts and modules then quiz directly)",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,Likes alot of students,Disappointment
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,"I strongly recommend incorporating hands on teaching methods during lab hours, especially for a subject like this where practical application is key to understanding the fundamentals. Relying solely on modles or extenal resources like Youtube tutorials places an unnecessary burden on students to self-learn, which can lead to inconsistent progress.",Disappointment,,,,,,I liked how quiet the class was since the teaching wasn’t effective.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,"Throughout the course, I found the instructor's teaching methods to be very ineffective. The explanations and instructions were often unclear, and there were no lectures since the instructor only made the students report a random topic, which became our basis for exams and quizzes. The instructor also lacks engagement and interest during classes. Additionally, the instructor was unresponsive to questions and did not provide adequate support for clarification of students.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Inconsistent announcement,Disappointment
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,I suggest the teacher shows us how they will code the said problem as inspiration since I know they are better at it than we are or just guide us on how to solve the problems like giving tips and strategies on how to solve the problem for the code like for syntaxes and so on. Overall nearly all coding subjects just let's us do our own thing like studying and watching YT and in some cases to other students that just doesn't work :(,Disappointment,,,,,,I can’t recall anything that helped me understand the subject.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,Teaching the course like reading it as a story and when explaining it will go on different directions and not related to his/her course anymore,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Should've taught more and deeply about the course and topics involved. Could've have been more present for whenever student needs consultations.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,I would recommend change the instructor to improve this course,Disappointment,,,,,,I liked that I had time to self-study because the teaching wasn’t helpful.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,If the code isn't working he'll make it as an activity,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,"meet more, give more lectures and content we can work on",Disappointment
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,"The subject is definitely great, yet it lacks clear explanation",Disappointment,,,,,,"The instructor sometimes explained, but it was always rushed.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,There are a couple of due date that is so short that we had a difficulty passing the activity,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Be serious on students.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,I think it's the instructor and not the course that needs improvement. He needs to attend his class regularly and teach properly.,Disappointment,,,,,,I only liked the fact that attendance was counted.,Disappointment,,,,,,None,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Tends to not give proper instructions and updates which affect our works,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 100,Introduction to Computing,Attend class,Disappointment,,,,,,None. The way lessons were delivered left me more confused.,Disappointment,,,,,,Di namimigay mani si sir,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Sometimes gives unprofessional criticism,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 100,Introduction to Computing,attend class every  meeting,Disappointment,,,,,,"I didn’t like anything about the teaching style, it felt empty.",Disappointment,,,,,,N/A,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,"Please stop your sarcasm and backhanded comments to students, your favoritism and making us feel like we don't have a brain. :))",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,The learning materials given to us was mediocre at best. The teaching style of the instructor just made us more confuses than before and we barely absorbed anything that was taught to us.,Disappointment,,,,,,"Nothing stood out, everything felt repetitive and shallow.",Disappointment,,,,,,None,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 133,Information Assurance and Security,"I'm really disappointed, I was really excited in learning the field of cyber security. but i learned nothing.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"Tbh it's all good, it's just how he interact with his students. students should be always eager to see you, not  a student that wants you to not meet.",Disappointment,,,,,,"The only thing I liked was the slides being available, but they weren’t explained.",Disappointment,,,,,,nothing,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,"i would've gotten something out of it if she was just as passionate as the other professors, placing other work on students just to get free time doesn't really sound like a professional would do. As difficult it is to learn this subject and getting a little bit of nothing sounds like a waste of time.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,Instructor meet us(students),Disappointment,,,,,,"I liked that the class ended on time, that’s all.",Disappointment,,,,,,nothing,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,"The instructor is unprofessional most of the time. During our defenses, she would not even let our members speak/explain properly because she would always interrupt and insist on something or point out something without even hearing the full explanation first before asking questions. Her questions and suggestions often lack context due to her poor listening skills during group presentations. She often speaks loudly or even eats in front of the students, a behavior that is also observed in other groups. Also, during our title proposal, her criteria were unclear, as she would approve title proposals immediately, but then it turns out during the defense that the concept already exists, which leads to conflict between groups.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,Just attend and teach well,Disappointment,,,,,,"Honestly, nothing to like—it was more stressful than helpful.",Disappointment,,,,,,Hmm... I have no idea as well.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,"It would have been better if the instructor did not gatekeep information like documentation outline, announcements, project criteria, etc. It would help students work on the project much earlier in the course and produce more quality outputs. What happened was that the documentation outline was given late, which resulted to unwanted revisions and the project criteria was not communicated clearly ",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Stay consistent,Disappointment,,,,,,I can’t say I enjoyed any part of the teaching.,Disappointment,,,,,,None,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,"I hope that if she requires students to create a system, she ensures that she teaches them well first.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,Teach the student themselves not relying only in reporting,Disappointment,,,,,,The teaching style made me feel like I was just memorizing words.,Disappointment,,,,,,N/A,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Just replace the professor with someone more knowledgeable in that course.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Actually teaching,Disappointment,,,,,,"I liked that sometimes instructions were clear, but the lessons were not.",Disappointment,,,,,,None,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,"this instructor doesnt have respect for her students and unreliable when it comes to consultations. rarely provides useful info in defenses, and focuses more on criticizing the work, even when its highly irrelevant. ",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 133,Information Assurance and Security,Attend the class to keep up to the lesson,Disappointment,,,,,,The best thing I can say is that the instructor was physically present.,Disappointment,,,,,,None,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,"Hoping that he would give consideration to the time of the students when giving a project and the lectures, the lectures  where too hard to understand because it's cramming into one semester ",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Maybe attend the class and teach students even a little regarding the project?,Disappointment,,,,,,I didn’t see anything worth liking about the teaching approach.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,Busy si sir but understandable.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,"Sir, please use your time fully. ",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,I believe he should teach her students properly not just give instant projects without even teaching it,Disappointment,,,,,,"The slides were neat, but they didn’t really teach us.",Disappointment,2024-2025,1st Semester,Associate in Computer Technology Major in Application Development,CC 104,Information Management,"LAHAT NG ABSENCES, HINDI NAGTUTURO NANG MAAYOS",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 133,Information Assurance and Security,Meet us,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,"Too much work, and also giving a task with short time for submission ",Disappointment,,,,,,"I liked that the instructor read from the book, but it didn’t help much.",Disappointment,,,,,,N/A,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,So unfair groupings,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 133,Information Assurance and Security,"He should be teaching, its just that we are reporting ",Disappointment,,,,,,I can’t think of a single good teaching moment.,Disappointment,,,,,,none,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,Explain further the lessons,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 133,Information Assurance and Security,Attend to class more,Disappointment,,,,,,"The only thing I appreciated was that assignments were given, even if confusing.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 101,Computer Programming 1,I plead the fifth,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,Should meet at lecture Schedule,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Reduce workload,Disappointment,,,,,,Nothing at all. It felt like we had no instructor.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Fast pacing of teaching,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,More hands on work than just lectures .,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,coverage of the exam should be the same as the lessons,Disappointment,,,,,,"The teaching style was too fast, I didn’t learn anything.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,not meeting us,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,"didnt actually learn that much cause he likes to give out ready-made codes for us to just retype on our laptops. barely teach us also cause i dont know i think he's expecting that we know it already? i hope more coding related stuff please. even though not graded, just to enhance the skills, random activities.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Schedule,Disappointment,,,,,,"I liked that there were exams, but they didn’t reflect actual learning.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,Their way of explaining,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,"The teacher did not teach everything about the subject due to inconsistent class attendance. But when we meet, the professor displays mastery of the subject but sometimes relies too much on what is on the displayed on the presentation screen. Since the subject is about web developing, actual coding during class should always happen so that student can adapt what is being taught and the teacher could assess the student's progress.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Don't really rely the topics in wadwhani,Disappointment,,,,,,None. The subject felt harder because of the lack of proper teaching.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,"She couldn't attend the class multiple times, which led to me or us as a class doing self-studying",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,More hands on like coding or something.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,Improve the time frame of this subject.,Disappointment,,,,,,"Honestly, nothing impressed me with the teaching style.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,"What I find most challenging is when lessons are skipped entirely or not explained in depth. [PROFESSOR] just simply post the learning materials without further elaboration whic leaves us students to figure things out independently or self-learning. Als when she practice of rushing through lessons and will just assume prior knowledge that some students may not have, which makes it difficult to keep up and succeed in the course.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,More hands on,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Improve timeframe for lab.,Disappointment,,,,,,The best part was when I studied alone because I learned more that way.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,"One  of my major concern is the lack of hands on teaching during lab hours. Tho it was mentioned that the LEC instructor is responsible for teaching, the absence of practical guidance or hands on learning during lab sessions I think leaves a gap in our learning process. Lab hours should be an opportunity to directly apply what has been taught in lectures, ensuring us to understand and can use the concepts in real world scenarios. Without this, it becomes difficult for us to grasp the subject effectively.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,"More discussions, and hands on practices coding and guided learning.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Guide us personally,Disappointment,,,,,,Nothing—the lessons didn’t stick in my mind.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,"There's nothing particular as well for this but I guess it's How she teaches? She only reads and doesn't give us advice on how to do it, I'm actually proud to be under someone like her since she's smart but really it's just how she teaches she doesn't execute well on trying to explain and give tips about it to us ",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,"More hands on practices, real-life projects, guide students comprehensively in learning as some student are not used to self-study and would require the assistance of the professor.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,Synchronization of project with SE,Disappointment,,,,,,"I liked the idea of lectures, but they weren’t effective.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,Fast explanation,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,Attend more classes.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 143,Thesis 2,Enhance the topic,Disappointment,,,,,,None. The classes just felt like plain reading.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,"Just “showing” rather than “teaching”.

Talks way too fast which overloads students with information given that the time allotted for this course is 3 hours.

Not an encouraging instructor.

Teaches as if everyone in his class is already VERY knowledgeable about the programming language involved.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"I'm hoping he could loosen up a bit when it comes to quizzes. They're unnecessary, even though I like the topic, but the answers to his questions often come from unexpected places.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,be more open to other sql technologies,Disappointment,,,,,,I can’t say anything positive about the teaching.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 212,Quantitative Methods,The way she teaches...its more like she just gives then leave it to us...,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,"I feel like our final projects were overlooked or unnoticed. I understand he's a busy person, but I hope he can give more proper attention to his students and their concerns.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,understand the modules,Disappointment,,,,,,The teaching left me lost most of the time.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 212,Quantitative Methods,"Rushing through the materials. Just because one student understand it, doesn't mean everyone did. A proper discussion with the lessons should be made with the class at a time, rather than speed running through the syllabus. ",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,Just a comment—sayang we didn’t have enough time to cover more of the lessons the course has to offer,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,Clearer discussions,Disappointment,,,,,,"I appreciated that deadlines were given, but no guidance was there.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,the way she teaches...its like she just gives it to us then leave it to us...,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 223 ,IT Elective 2,the activities are helpful but sometimes they feel a little too complex for what we covered. It would help if the teacher explained all the fundamentals or necessities.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,The way the professor teaches,Disappointment,,,,,,None. The explanations were unclear and rushed.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,too much information and almost no time for students to have a time to let the informations sink in to our minds....,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 143,Information Assurance and Security 2,Instructor should be able to meet the class most of the time. The instructor's frequent absences has gotten to the point that even other instructors are aware of his lack of attendances to classes.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Explore more topics,Disappointment,,,,,,"I liked the effort to use slides, but that’s about it.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,"Sometimes she teaches a little bit fast due to lack of time, because sometimes we got stuck to a certain problem for too long.",Disappointment,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 142,Systems Administration and Maintenance,"I would suggest incorporating GitHub into the curriculum at an earlier stage, as it is a very important tool in modern software development. Early exposure would allow students to develop version control habits and collaborative coding skills sooner, better preparing them for industry standards and real-world projects.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,"course itself is fine, just the delivery isnt optimal",Disappointment,,,,,,Nothing. I didn’t feel guided in the lessons.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,There could have at least 1 more meeting of class.,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 225,Advanced Database Systems,(THE SAME ON THE ADVANCE DATABASE LECTURE) MARAMI PA RIN NAG CHECHEAT SA BOOKLET (MAY ANSWERS NA AGAD SA LIKOD NG BOOKLET GALING SA IBANG SECTIONS)),Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,Need more class interaction,Disappointment,,,,,,I can’t think of a single thing that helped me.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,some of the topic or lesson are not intimately providing informations —she's just reading the ppt and later on it will be part of the quiz!,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 136,IT Elective 2,I hope someday he'll teach his students properly,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,More examples when teaching and advice,Disappointment,,,,,,"Honestly, none. The teaching wasn’t engaging at all.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,"He's always busy, Have no time for us🤧",Disappointment,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 132,Software Engineering 2,"A more respectful and encouraging environment would make a big difference for students taking the course. Since students are doing their best and the course is one of the crucial points for students, it would be appropriate to be at least professional and respectful during defense, providing constructive and focused feedback so it would motivate and at least foster a sense of growth for students, instead of discouragement.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,Be more clear and sensitive,Disappointment,,,,,,Nothing really stood out—it was disappointing overall.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,Some parts of the power presentation(ppt) have a lot of pages that it makes it hard to understand in a single discussing.,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 132,Software Engineering 2,"The course was already tough, so clearer guidance and responsiveness would’ve helped a lot, especially when new deliverables were introduced close to deadlines as it was often hard to get clarification. Also, information dissemination also felt inconsistent, and some defenses left us discouraged rather than supported. A bit more respect and constructive feedback during those sessions could really change the learning atmosphere.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,more lab time,Disappointment,,,,,,"I only liked that the instructor gave us time in class, but it wasn’t useful.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,to much info,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Computer Science,HCI 116,Human Computer Interaction,I really hope for a major reform in this subject.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,"This Course heavily relies on materials in order to keep up in learning, like Computer/Laptops. It would be nice for all the needs of the students to be provided in the computer lab. some of the computer does not work. and some of the computer is very slow for this course especially when it comes to virtual machine. and not all student have good laptop for them to keep up with this particular lesson.",Disappointment,,,,,,The teaching style was boring and unhelpful.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,lack of or late proper announcement for exam pointers and quiz schedules,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Computer Science,AO 124,Architecture and Organization,"In some cases, there's no notice on the final grades if ever there is something that needs to be clarified or what.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,let's not force the quiz to continue or specially if there's only about 30 minutes or less that are left,Disappointment,,,,,,Nothing. The way topics were delivered wasn’t clear.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Fast teaching,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,I hope that announcements will be announce much earlier because usually he arrives late but will announce it also late.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,To explain the topics in-depth,Disappointment,,,,,,"I didn’t like anything, the lectures weren’t understandable.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Sometimes the instructor is too fast when explaining,Disappointment,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,Please early announcement if hindi magmeet🙏,Disappointment
